Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2025-2026,A.J. Greer,FLA,F,152.0,137.0,,,190.0,45.0,148.0,160.0,129.0,111.0,439.0,40.0,,332.0,Fourth Line,55,645.18333333333,11,10,21,10.89,57.89,54.11,28,1996-12-14,CAN,CAN,75,208,2015,2,39,8478421.0
2025-2026,Aatu Raty,VAN,F,266.0,303.0,,187.0,243.0,161.0,321.0,254.0,252.0,366.0,424.0,59.0,5.0,387.0,Fourth Line,44,534.43333333333,3,9,12,6.62,53.13,47.62,22,2002-11-14,FIN,FIN,74,190,2021,2,52,8482691.0
2025-2026,Adam Edstrom,NYR,F,343.0,38.0,,,394.0,109.0,345.0,278.0,285.0,428.0,336.0,62.0,,412.0,Fourth Line,24,229.6,2,2,4,2.64,64.29,47.27,24,2000-10-12,SWE,SWE,79,220,2019,6,161,8481726.0
2025-2026,Adam Erne,DAL,F,389.0,85.0,,,431.0,112.0,317.0,117.0,439.0,360.0,387.0,9.0,,417.0,Fourth Line,23,215.1,3,1,4,2.95,53.85,47.92,30,1995-04-20,USA,USA,73,212,2013,2,33,8477454.0
2025-2026,Adam Fantilli,CBJ,F,125.0,354.0,214.0,,154.0,362.0,100.0,179.0,116.0,31.0,77.0,196.0,139.0,100.0,First Line,54,1013.55,13,22,35,19.03,45.21,51.72,20,2004-10-12,CAN,,74,194,2023,1,3,8484166.0
2025-2026,Adam Gaudette,SJS,F,175.0,236.0,200.0,,356.0,347.0,127.0,10.0,371.0,214.0,398.0,205.0,126.0,245.0,Fourth Line,44,521.9,13,7,20,8.69,42.22,46.08,28,1996-10-03,USA,USA,73,194,2015,5,149,8478874.0
2025-2026,Adam Henrique,EDM,F,341.0,17.0,113.0,151.0,375.0,165.0,234.0,390.0,248.0,398.0,355.0,301.0,32.0,243.0,Third Line,43,594.81666666667,2,8,10,8.9,32.26,48.19,35,1990-02-06,CAN,CAN,72,195,2008,3,82,8474641.0
2025-2026,Adam Klapka,CGY,F,197.0,37.0,,,333.0,241.0,110.0,157.0,172.0,242.0,453.0,10.0,,337.0,Fourth Line,54,573.86666666667,5,7,12,7.2,51.52,45.66,24,2000-09-14,CZE,CZE,80,235,-,-,-,8483609.0
2025-2026,Adam Lowry,WPG,F,313.0,90.0,,95.0,321.0,89.0,341.0,294.0,268.0,448.0,169.0,104.0,29.0,278.0,Third Line,43,620.2,4,10,14,8.22,55.56,47.88,32,1993-03-29,USA,USA,78,208,2011,3,67,8476392.0
2025-2026,Adrian Kempe,LAK,F,71.0,226.0,145.0,,258.0,175.0,38.0,66.0,83.0,225.0,375.0,184.0,,45.0,First Line,54,1036.0166666667,20,25,45,15.88,59.26,44.5,28,1996-09-13,SWE,SWE,74,200,2014,1,29,8477960.0
2025-2026,Alex DeBrincat,DET,F,48.0,274.0,23.0,,182.0,290.0,10.0,60.0,134.0,258.0,118.0,376.0,,24.0,First Line,57,1030.2333333333,30,27,57,27.36,53.73,53.29,27,1997-12-18,USA,USA,68,178,2016,2,39,8479337.0
2025-2026,Alex Iafallo,WPG,F,372.0,12.0,127.0,135.0,346.0,69.0,390.0,306.0,373.0,260.0,220.0,212.0,,257.0,Third Line,55,838.83333333333,9,11,20,12.63,47.27,42.14,31,1993-12-21,USA,USA,72,200,-,-,-,8480113.0
2025-2026,Alex Killorn,ANA,F,220.0,350.0,274.0,138.0,105.0,279.0,178.0,319.0,267.0,245.0,374.0,250.0,,246.0,Second Line,55,887.53333333333,6,11,17,11.31,50.00,53.11,35,1989-09-14,CAN,CAN,73,194,2007,3,77,8473986.0
2025-2026,Alex Laferriere,LAK,F,66.0,170.0,271.0,93.0,168.0,48.0,22.0,85.0,144.0,234.0,226.0,107.0,146.0,154.0,Second Line,54,941.08333333333,13,13,26,14.37,58.33,52.03,23,2001-10-28,USA,USA,72,173,2020,3,83,8482155.0
2025-2026,Alex Newhook,MTL,F,203.0,299.0,,192.0,353.0,338.0,414.0,67.0,84.0,91.0,198.0,181.0,172.0,190.0,Third Line,17,248.9,6,6,12,2.83,60.87,42.88,24,2001-01-28,CAN,CAN,70,190,2019,1,16,8481618.0
2025-2026,Alex Ovechkin,WSH,F,13.0,429.0,122.0,,75.0,356.0,35.0,24.0,16.0,1.0,381.0,145.0,,37.0,Second Line,57,1025.0833333333,22,25,47,22.52,58.73,51.45,39,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214.0
2025-2026,Alex Steeves,BOS,F,304.0,39.0,147.0,,292.0,131.0,240.0,95.0,443.0,327.0,346.0,20.0,,241.0,Fourth Line,37,447.71666666667,9,6,15,6.02,54.84,50.54,25,1999-12-10,USA,USA,72,196,-,-,-,8482634.0
2025-2026,Alex Tuch,BUF,F,54.0,121.0,198.0,139.0,127.0,327.0,77.0,28.0,123.0,130.0,401.0,281.0,,41.0,First Line,54,1008.7666666667,22,26,48,16.65,60.26,52.47,29,1996-05-10,USA,USA,76,219,2014,1,18,8477949.0
2025-2026,Alex Turcotte,LAK,F,106.0,24.0,,,26.0,40.0,199.0,301.0,59.0,132.0,253.0,292.0,34.0,349.0,Fourth Line,49,536.16666666667,3,9,12,10.01,45.00,59.73,24,2001-02-26,USA,USA,71,185,2019,1,5,8481532.0
2025-2026,Alexander Holtz,VGK,F,337.0,316.0,,,371.0,207.0,245.0,324.0,320.0,107.0,345.0,237.0,,360.0,Fourth Line,24,273.01666666667,2,5,7,3.54,50.00,47.66,23,2002-01-23,SWE,SWE,72,195,2020,1,7,8482125.0
2025-2026,Alexander Wennberg,SJS,F,404.0,43.0,211.0,175.0,299.0,275.0,455.0,446.0,215.0,377.0,34.0,414.0,154.0,169.0,First Line,54,1124.05,10,26,36,13.13,43.86,48.12,30,1994-09-22,SWE,SWE,74,190,2013,1,14,8477505.0
2025-2026,Alexandre Texier,MTL,F,233.0,277.0,196.0,,291.0,320.0,130.0,144.0,328.0,246.0,283.0,242.0,,252.0,Third Line,38,525.7,7,11,18,5.75,62.16,49.24,25,1999-09-13,FRA,FRA,73,186,2017,2,45,8480074.0
2025-2026,Alexey Toropchenko,STL,F,431.0,63.0,,65.0,454.0,208.0,316.0,434.0,337.0,422.0,364.0,57.0,,364.0,Fourth Line,40,487.36666666667,2,4,6,4.84,31.43,41.3,26,1999-06-25,RUS,RUS,78,222,2017,4,113,8480281.0
2025-2026,Alexis Lafrenière,NYR,F,171.0,97.0,177.0,,88.0,132.0,180.0,205.0,197.0,62.0,152.0,202.0,,161.0,Second Line,56,956.41666666667,12,20,32,15.73,48.48,53.72,23,2001-10-11,CAN,CAN,73,195,2020,1,1,8482109.0
2025-2026,Aliaksei Protas,WSH,F,52.0,332.0,,24.0,56.0,218.0,120.0,40.0,110.0,186.0,181.0,408.0,,111.0,First Line,54,992.98333333333,18,19,37,17.22,58.67,53.42,24,2001-01-06,BLR,BLR,78,225,2019,3,91,8481656.0
2025-2026,Anders Lee,NYI,F,23.0,306.0,99.0,,61.0,340.0,40.0,123.0,11.0,149.0,351.0,224.0,,116.0,Third Line,56,865.15,11,19,30,27.53,56.92,53.24,35,1990-07-03,USA,USA,75,235,2009,6,152,8475314.0
2025-2026,Andre Burakovsky,CHI,F,299.0,410.0,207.0,,202.0,445.0,354.0,328.0,265.0,80.0,150.0,413.0,,212.0,Second Line,50,855.45,10,20,30,9.07,40.79,45.9,30,1995-02-09,AUT,SWE,75,209,2013,1,23,8477444.0
2025-2026,Andrei Kuzmenko,LAK,F,280.0,228.0,216.0,,92.0,72.0,380.0,296.0,343.0,119.0,58.0,405.0,,239.0,Third Line,49,735.7,11,10,21,9.63,48.78,54.35,29,1996-02-04,RUS,RUS,71,194,-,-,-,8483808.0
2025-2026,Andrei Svechnikov,CAR,F,27.0,406.0,50.0,,7.0,189.0,31.0,141.0,94.0,61.0,423.0,122.0,,76.0,Second Line,55,931.86666666667,20,27,47,19.54,53.97,55.2,25,2000-03-26,RUS,RUS,74,195,2018,1,2,8480830.0
2025-2026,Andrew Copp,DET,F,306.0,215.0,210.0,130.0,280.0,221.0,334.0,353.0,219.0,296.0,260.0,375.0,48.0,210.0,Second Line,57,916.33333333333,8,25,33,15.57,50.91,52.71,31,1994-07-08,USA,USA,73,199,2013,4,104,8477429.0
2025-2026,Andrew Mangiapane,EDM,F,353.0,232.0,,,268.0,129.0,396.0,286.0,384.0,197.0,206.0,228.0,,343.0,Fourth Line,47,606.45,6,6,12,6.52,33.96,48.52,29,1996-04-04,CAN,CAN,70,184,2015,6,166,8478233.0
2025-2026,Anthony Beauvillier,WSH,F,172.0,249.0,,26.0,106.0,350.0,59.0,113.0,411.0,188.0,243.0,185.0,,244.0,Second Line,57,895.68333333333,11,7,18,15.85,49.32,50.62,28,1997-06-08,CAN,CAN,71,180,2015,1,28,8478463.0
2025-2026,Anthony Cirelli,TBL,F,67.0,105.0,179.0,110.0,12.0,116.0,219.0,76.0,191.0,249.0,268.0,356.0,97.0,107.0,Second Line,49,855.48333333333,15,20,35,16.92,71.19,56.72,28,1997-07-15,CAN,CAN,72,189,2015,3,72,8478519.0
2025-2026,Anthony Duclair,NYI,F,256.0,407.0,103.0,,205.0,447.0,355.0,251.0,229.0,170.0,176.0,422.0,,240.0,Third Line,53,721.13333333333,12,14,26,8.6,55.10,41.39,30,1995-08-26,CAN,CAN,71,197,2013,3,80,8477407.0
2025-2026,Anthony Mantha,PIT,F,76.0,364.0,100.0,,93.0,292.0,155.0,16.0,179.0,74.0,219.0,325.0,,115.0,Third Line,54,805.05,19,21,40,13.76,57.81,52.15,30,1994-09-16,CAN,CAN,77,234,2013,1,20,8477511.0
2025-2026,Anton Lundell,FLA,F,177.0,181.0,144.0,21.0,210.0,94.0,96.0,145.0,263.0,240.0,210.0,214.0,42.0,113.0,First Line,52,997.06666666667,15,21,36,16.18,47.54,48.47,23,2001-10-03,FIN,FIN,73,185,2020,1,12,8482113.0
2025-2026,Anze Kopitar,LAK,F,342.0,35.0,184.0,,253.0,84.0,442.0,332.0,261.0,305.0,97.0,388.0,12.0,150.0,First Line,39,718.95,6,15,21,8.92,67.65,48.21,38,1987-08-24,SVN,SVN,75,225,2005,1,11,8471685.0
2025-2026,Arseny Gritsyuk,NJD,F,78.0,132.0,69.0,,41.0,57.0,33.0,269.0,124.0,312.0,244.0,257.0,,187.0,Third Line,51,771.36666666667,9,14,23,9.4,51.67,54.85,24,2001-03-15,RUS,,72,195,2019,5,129,8481721.0
2025-2026,Arshdeep Bains,VAN,F,371.0,258.0,,,240.0,151.0,441.0,433.0,284.0,72.0,455.0,199.0,,440.0,Fourth Line,28,257.76666666667,1,4,5,2.59,42.86,50.36,24,2001-01-09,CAN,CAN,72,184,-,-,-,8483395.0
2025-2026,Artemi Panarin,NYR,F,53.0,398.0,31.0,,52.0,134.0,85.0,59.0,86.0,57.0,94.0,449.0,,19.0,First Line,52,1087.3333333333,19,38,57,16.3,52.50,52.19,33,1991-10-30,RUS,RUS,72,173,-,-,-,8478550.0
2025-2026,Artturi Lehkonen,COL,F,33.0,227.0,246.0,10.0,11.0,166.0,128.0,33.0,105.0,71.0,313.0,346.0,,99.0,First Line,54,1036.0666666667,17,23,40,21.87,70.73,55.87,30,1995-07-04,FIN,FIN,71,179,2013,2,55,8477476.0
2025-2026,Auston Matthews,TOR,F,8.0,77.0,33.0,137.0,140.0,337.0,4.0,5.0,44.0,114.0,223.0,353.0,6.0,5.0,First Line,50,1040.8,26,21,47,25.26,54.67,47.95,27,1997-09-17,USA,USA,75,208,2016,1,1,8479318.0
2025-2026,Barclay Goodrow,SJS,F,445.0,254.0,,128.0,433.0,416.0,425.0,427.0,421.0,376.0,428.0,92.0,,400.0,Fourth Line,54,620.51666666667,4,5,9,6.8,31.43,42.22,32,1993-02-26,CAN,CAN,74,204,-,-,-,8476624.0
2025-2026,Barrett Hayton,UTA,F,229.0,72.0,174.0,,80.0,41.0,168.0,350.0,304.0,251.0,213.0,384.0,65.0,213.0,Third Line,51,781.41666666667,7,13,20,16.51,53.45,58.26,25,2000-06-09,CAN,CAN,73,207,2018,1,5,8480849.0
2025-2026,Beck Malenstyn,BUF,F,415.0,57.0,,15.0,449.0,228.0,328.0,403.0,326.0,434.0,140.0,18.0,,385.0,Fourth Line,54,604.33333333333,4,4,8,5.3,36.67,42.18,27,1998-02-04,CAN,CAN,75,200,2016,5,145,8479359.0
2025-2026,Beckett Sennecke,ANA,F,26.0,457.0,130.0,,15.0,441.0,115.0,25.0,117.0,136.0,248.0,239.0,,93.0,Second Line,55,957.16666666667,18,26,44,17.86,48.68,52.32,19,2006-01-28,CAN,,74,177,2024,1,3,8484762.0
2025-2026,Ben Jones,MIN,F,436.0,438.0,,,448.0,456.0,175.0,437.0,434.0,427.0,13.0,46.0,72.0,441.0,Fringe,26,223.8,1,1,2,2.65,20.00,39.26,26,1999-02-26,CAN,CAN,72,187,2017,7,189,8480259.0
2025-2026,Ben Kindel,PIT,F,131.0,150.0,24.0,,44.0,133.0,118.0,199.0,211.0,147.0,69.0,386.0,153.0,141.0,Third Line,51,786.11666666667,12,13,25,13.82,47.92,54.83,18,2007-04-19,CAN,,71,182,2025,1,11,8485414.0
2025-2026,Ben Meyers,SEA,F,124.0,346.0,,185.0,278.0,269.0,91.0,64.0,158.0,455.0,188.0,174.0,47.0,318.0,Fourth Line,31,360.76666666667,5,6,11,4.42,50.00,52.94,26,1998-11-15,USA,USA,71,194,-,-,-,8483570.0
2025-2026,Berkly Catton,SEA,F,418.0,179.0,189.0,,322.0,321.0,357.0,305.0,457.0,4.0,218.0,452.0,,341.0,Fourth Line,40,495.56666666667,5,6,11,6.46,48.15,46.1,19,2006-01-14,CAN,,71,170,2024,1,8,8484800.0
