Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2019-2020,Adam Erne,DET,F,409.0,220.0,267.0,,405.0,146.0,326.0,403.0,336.0,352.0,362.0,29.0,,395.0,Fourth Line,56,661.68333333333,2,3,24,1995-04-20,USA,USA,73,212,2013,2,3,33,8477454.0,https://assets.nhle.com/mugs/nhl/20192020/DET/8477454.png
2019-2020,Adam Gaudette,VAN,F,316.0,334.0,199.0,,339.0,387.0,338.0,247.0,262.0,13.0,215.0,247.0,176.0,281.0,Fourth Line,59,730.63333333333,12,7,22,1996-10-03,USA,USA,73,194,2015,5,28,149,8478874.0,https://assets.nhle.com/mugs/nhl/20192020/VAN/8478874.png
2019-2020,Adam Henrique,ANA,F,159.0,239.0,151.0,,221.0,302.0,210.0,61.0,218.0,246.0,255.0,244.0,42.0,124.0,Second Line,71,1197.5666666667,26,11,29,1990-02-06,CAN,CAN,72,195,2008,3,21,82,8474641.0,https://assets.nhle.com/mugs/nhl/20192020/ANA/8474641.png
2019-2020,Adam Lowry,WPG,F,388.0,69.0,,75.0,372.0,128.0,307.0,378.0,384.0,399.0,254.0,38.0,6.0,321.0,Third Line,49,733.11666666667,4,3,26,1993-03-29,USA,USA,78,208,2011,3,6,67,8476392.0,https://assets.nhle.com/mugs/nhl/20192020/WPG/8476392.png
2019-2020,Adrian Kempe,LAK,F,296.0,185.0,141.0,73.0,182.0,70.0,260.0,365.0,317.0,161.0,356.0,207.0,163.0,212.0,Second Line,69,1104.8333333333,11,14,22,1996-09-13,SWE,SWE,74,200,2014,1,29,29,8477960.0,https://assets.nhle.com/mugs/nhl/20192020/LAK/8477960.png
2019-2020,Aleksander Barkov,FLA,F,82.0,248.0,72.0,149.0,144.0,311.0,176.0,120.0,46.0,210.0,27.0,413.0,29.0,26.0,First Line,66,1320.9833333333,20,22,23,1995-09-02,FIN,FIN,75,215,2013,1,2,2,8477493.0,https://assets.nhle.com/mugs/nhl/20192020/FLA/8477493.png
2019-2020,Alex Chiasson,EDM,F,358.0,267.0,15.0,,310.0,197.0,357.0,304.0,382.0,215.0,403.0,198.0,,236.0,Fourth Line,65,853.03333333333,11,7,28,1990-10-01,CAN,CAN,76,208,2009,2,8,38,8475163.0,https://assets.nhle.com/mugs/nhl/20192020/EDM/8475163.png
2019-2020,Alex DeBrincat,CHI,F,84.0,387.0,85.0,,209.0,385.0,38.0,129.0,106.0,80.0,131.0,315.0,,69.0,Second Line,70,1224.5666666667,18,19,21,1997-12-18,USA,USA,68,178,2016,2,9,39,8479337.0,https://assets.nhle.com/mugs/nhl/20192020/CHI/8479337.png
2019-2020,Alex Galchenyuk,MIN,F,242.0,350.0,77.0,,288.0,283.0,266.0,265.0,104.0,46.0,273.0,225.0,,191.0,Fourth Line,59,725.75,8,12,25,1994-02-12,USA,USA,73,194,2012,1,3,3,8476851.0,https://assets.nhle.com/mugs/nhl/20192020/MIN/8476851.png
2019-2020,Alex Galchenyuk,PIT,F,242.0,350.0,77.0,,288.0,283.0,266.0,265.0,104.0,46.0,273.0,225.0,,191.0,Fourth Line,59,725.75,8,12,25,1994-02-12,USA,USA,73,194,2012,1,3,3,8476851.0,https://assets.nhle.com/mugs/nhl/20192020/PIT/8476851.png
