Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2013-2014,Aaron Volpatti,WSH,F,413.0,166.0,,,406.0,224.0,401.0,371.0,399.0,195.0,406.0,22.0,,412.0,Fringe,41,301.86666666667,2,0,28,1985-05-30,CAN,CAN,72,215,-,-,-,-,8475619.0
2013-2014,Adam Hall,PHI,F,400.0,74.0,,51.0,402.0,163.0,331.0,404.0,358.0,417.0,288.0,95.0,11.0,379.0,Fourth Line,80,787.08333333333,4,3,33,1980-08-14,USA,USA,74,212,1999,2,24,52,8467925.0
2013-2014,Adam Henrique,NJD,F,264.0,16.0,206.0,19.0,192.0,20.0,335.0,134.0,347.0,189.0,69.0,279.0,142.0,133.0,First Line,77,1390.1833333333,25,9,23,1990-02-06,CAN,CAN,72,195,2008,3,21,82,8474641.0
2013-2014,Aleksander Barkov,FLA,F,189.0,129.0,230.0,,51.0,232.0,349.0,369.0,49.0,253.0,182.0,408.0,137.0,213.0,Second Line,54,923.26666666667,8,12,17,1995-09-02,FIN,FIN,75,215,2013,1,2,2,8477493.0
2013-2014,Ales Hemsky,EDM,F,165.0,359.0,192.0,,158.0,370.0,156.0,200.0,178.0,277.0,238.0,378.0,,142.0,Second Line,75,1196.8833333333,13,15,30,1983-08-13,CZE,CZE,72,177,2001,1,13,13,8469466.0
2013-2014,Ales Hemsky,OTT,F,165.0,359.0,192.0,,158.0,370.0,156.0,200.0,178.0,277.0,238.0,378.0,,142.0,Second Line,75,1196.8833333333,13,15,30,1983-08-13,CZE,CZE,72,177,2001,1,13,13,8469466.0
2013-2014,Alex Chiasson,DAL,F,275.0,382.0,31.0,,188.0,373.0,309.0,304.0,242.0,73.0,329.0,217.0,,209.0,Third Line,79,1194.0166666667,13,11,22,1990-10-01,CAN,CAN,76,208,2009,2,8,38,8475163.0
2013-2014,Alex Galchenyuk,MTL,F,104.0,270.0,115.0,,138.0,328.0,233.0,136.0,52.0,69.0,215.0,294.0,,185.0,Third Line,65,935.68333333333,13,13,19,1994-02-12,USA,USA,73,194,2012,1,3,3,8476851.0
2013-2014,Alex Killorn,TBL,F,199.0,262.0,245.0,,181.0,205.0,152.0,223.0,225.0,127.0,251.0,261.0,,149.0,Second Line,82,1375.8666666667,17,9,23,1989-09-14,CAN,CAN,73,194,2007,3,16,77,8473986.0
2013-2014,Alex Ovechkin,WSH,F,36.0,398.0,5.0,,191.0,390.0,5.0,13.0,177.0,97.0,124.0,91.0,,1.0,First Line,78,1602.5333333333,51,17,27,1985-09-17,RUS,RUS,75,238,2004,1,1,1,8471214.0
2013-2014,Alexander Semin,CAR,F,26.0,373.0,108.0,,7.0,371.0,34.0,122.0,31.0,49.0,354.0,402.0,,39.0,First Line,65,1294.1333333333,22,13,29,1984-03-03,RUS,RUS,74,211,2002,1,13,13,8470120.0
2013-2014,Alexander Steen,STL,F,47.0,70.0,36.0,21.0,83.0,59.0,48.0,15.0,151.0,319.0,72.0,332.0,93.0,27.0,First Line,68,1379.1333333333,33,16,29,1984-03-01,CAN,SWE,72,211,2002,1,24,24,8470257.0
2013-2014,Alexandre Burrows,VAN,F,114.0,93.0,143.0,81.0,45.0,65.0,87.0,168.0,261.0,7.0,146.0,186.0,,151.0,Second Line,49,873.08333333333,5,6,32,1981-04-11,CAN,CAN,73,197,-,-,-,-,8470358.0
2013-2014,Andrei Loktionov,NJD,F,223.0,20.0,87.0,,179.0,19.0,327.0,210.0,171.0,29.0,195.0,374.0,164.0,290.0,Fourth Line,68,883.06666666667,7,12,23,1990-05-30,RUS,RUS,71,190,2008,5,2,123,8474681.0
2013-2014,Andrei Loktionov,CAR,F,223.0,20.0,87.0,,179.0,19.0,327.0,210.0,171.0,29.0,195.0,374.0,164.0,290.0,Fourth Line,68,883.06666666667,7,12,23,1990-05-30,RUS,RUS,71,190,2008,5,2,123,8474681.0
2013-2014,Andrew Cogliano,ANA,F,190.0,333.0,,107.0,248.0,257.0,217.0,94.0,238.0,338.0,117.0,242.0,,173.0,Third Line,82,1262.2333333333,22,12,26,1987-06-14,CAN,CAN,70,179,2005,1,25,25,8471699.0
2013-2014,Andrew Desjardins,SJS,F,318.0,33.0,,9.0,288.0,72.0,208.0,376.0,295.0,203.0,115.0,119.0,27.0,347.0,Fourth Line,81,902.61666666667,3,5,27,1986-07-27,CAN,CAN,73,195,-,-,-,-,8471956.0
2013-2014,Andrew Ladd,WPG,F,67.0,340.0,163.0,145.0,36.0,308.0,104.0,35.0,122.0,234.0,293.0,172.0,,59.0,First Line,78,1538.6166666667,23,18,27,1985-12-12,CAN,CAN,75,205,2004,1,4,4,8471217.0
2013-2014,Andrew Shaw,CHI,F,191.0,132.0,191.0,,112.0,70.0,243.0,76.0,359.0,35.0,228.0,107.0,161.0,211.0,Second Line,80,1255.2333333333,20,8,22,1991-07-20,CAN,CAN,71,182,2011,5,18,139,8476381.0
2013-2014,Anthony Peluso,WPG,F,391.0,247.0,,,375.0,187.0,386.0,402.0,313.0,95.0,324.0,18.0,,414.0,Fringe,53,306.06666666667,2,2,24,1989-04-18,CAN,CAN,75,225,2007,6,9,160,8474061.0
2013-2014,Antoine Roussel,DAL,F,102.0,265.0,,190.0,75.0,305.0,165.0,66.0,172.0,375.0,294.0,67.0,,267.0,Fourth Line,81,1079.9833333333,14,8,23,1989-11-21,FRA,FRA,71,200,-,-,-,-,8474849.0
2013-2014,Antoine Vermette,PHX,F,246.0,192.0,183.0,168.0,247.0,317.0,299.0,176.0,241.0,309.0,264.0,218.0,12.0,122.0,First Line,82,1575.35,24,12,31,1982-07-20,CAN,CAN,73,197,2000,2,25,55,8468535.0
2013-2014,Anton Lander,EDM,F,416.0,403.0,262.0,180.0,387.0,392.0,403.0,418.0,411.0,324.0,11.0,219.0,124.0,408.0,Third Line,27,366.88333333333,0,1,22,1991-04-24,SWE,SWE,72,184,2009,2,10,40,8475165.0
2013-2014,Anze Kopitar,LAK,F,65.0,26.0,86.0,171.0,4.0,11.0,200.0,77.0,113.0,251.0,110.0,258.0,29.0,43.0,First Line,82,1713.0666666667,29,24,26,1987-08-24,SVN,SVN,75,225,2005,1,11,11,8471685.0
2013-2014,Artem Anisimov,CBJ,F,162.0,31.0,207.0,72.0,300.0,112.0,189.0,25.0,248.0,347.0,221.0,376.0,104.0,138.0,Second Line,81,1344.3,22,9,25,1988-05-24,RUS,RUS,76,199,2006,2,24,54,8473573.0
2013-2014,B.J. Crombeen,TBL,F,362.0,136.0,,166.0,363.0,89.0,168.0,390.0,369.0,362.0,396.0,154.0,,368.0,Fourth Line,55,559.18333333333,3,2,28,1985-07-10,USA,USA,74,209,2003,2,24,54,8470647.0
2013-2014,Ben Smith,CHI,F,238.0,3.0,,56.0,309.0,26.0,302.0,69.0,281.0,413.0,40.0,328.0,66.0,259.0,Fourth Line,75,955.28333333333,14,7,25,1988-07-11,USA,USA,71,203,2008,6,18,169,8474727.0
2013-2014,Benoit Pouliot,NYR,F,108.0,205.0,130.0,,62.0,126.0,121.0,108.0,194.0,76.0,136.0,142.0,,202.0,Fourth Line,80,1075.2166666667,15,8,26,1986-09-29,CAN,CAN,75,200,2005,1,4,4,8471678.0
2013-2014,Blake Comeau,CBJ,F,258.0,167.0,,,319.0,90.0,107.0,292.0,235.0,211.0,370.0,29.0,,308.0,Fourth Line,61,735.68333333333,5,6,27,1986-02-18,CAN,CAN,73,200,2004,2,17,47,8471260.0
