Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2009-2010,Aaron Voros,NYR,F,250.0,367.0,,,238.0,391.0,373.0,299.0,78.0,192.0,402.0,28.0,,380.0,Fringe,41,251.83333333333,3,4,28,1981-07-02,CAN,CAN,74,210,2001,8,2,229,8469672.0
2009-2010,Adam Mair,BUF,F,320.0,226.0,,,311.0,115.0,322.0,269.0,275.0,244.0,405.0,95.0,,370.0,Fourth Line,69,637.28333333333,6,4,30,1979-02-15,CAN,CAN,73,208,1997,4,4,84,8466216.0
2009-2010,Ales Kotalik,CGY,F,272.0,230.0,131.0,,258.0,202.0,43.0,286.0,384.0,184.0,385.0,123.0,,161.0,Third Line,71,1006.9666666667,11,3,30,1978-12-23,CZE,CZE,73,225,1998,6,19,164,8467502.0
2009-2010,Ales Kotalik,NYR,F,272.0,230.0,131.0,,258.0,202.0,43.0,286.0,384.0,184.0,385.0,123.0,,161.0,Third Line,71,1006.9666666667,11,3,30,1978-12-23,CZE,CZE,73,225,1998,6,19,164,8467502.0
2009-2010,Alex Frolov,LAK,F,185.0,284.0,153.0,134.0,141.0,138.0,278.0,169.0,151.0,233.0,237.0,352.0,,100.0,First Line,81,1493.3166666667,19,20,27,1982-06-19,RUS,RUS,74,210,2000,1,20,20,8468500.0
2009-2010,Alex Kovalev,OTT,F,143.0,408.0,149.0,,145.0,324.0,218.0,137.0,97.0,148.0,133.0,363.0,,83.0,First Line,77,1398.3666666667,18,20,36,1973-02-24,RUS,RUS,74,222,1991,1,15,15,8458529.0
2009-2010,Alex Ovechkin,WSH,F,1.0,369.0,2.0,,2.0,228.0,1.0,2.0,4.0,142.0,119.0,102.0,,1.0,First Line,72,1569.4166666667,50,37,23,1985-09-17,RUS,RUS,75,238,2004,1,1,1,8471214.0
2009-2010,Alex Tanguay,TBL,F,249.0,380.0,240.0,,116.0,362.0,394.0,253.0,137.0,195.0,252.0,326.0,,204.0,Second Line,80,1263.0833333333,10,14,29,1979-11-21,CAN,CAN,73,194,1998,1,12,12,8467338.0
2009-2010,Alexander Semin,WSH,F,2.0,361.0,9.0,24.0,5.0,317.0,5.0,1.0,16.0,90.0,285.0,398.0,,7.0,First Line,73,1396.0,40,26,25,1984-03-03,RUS,RUS,74,211,2002,1,13,13,8470120.0
2009-2010,Alexander Steen,STL,F,176.0,135.0,52.0,176.0,284.0,195.0,99.0,158.0,186.0,352.0,101.0,321.0,,102.0,Second Line,68,1106.7833333333,24,12,25,1984-03-01,CAN,SWE,72,211,2002,1,24,24,8470257.0
