Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2010-2011,Adam Burish,DAL,F,349.0,32.0,,80.0,372.0,79.0,223.0,253.0,379.0,416.0,347.0,164.0,39.0,292.0,Third Line,63,904.03333333333,8,6,14,7.8,50.00,46.14,27,1983-01-06,USA,USA,73,195,2002,9,282,8470063.0
2010-2011,Adam Hall,TBL,F,239.0,24.0,,110.0,260.0,19.0,55.0,303.0,322.0,408.0,80.0,100.0,22.0,284.0,Third Line,82,1217.65,7,11,18,14.65,39.66,56.99,30,1980-08-14,USA,USA,74,212,1999,2,52,8467925.0
2010-2011,Adam Mair,NJD,F,383.0,106.0,,,385.0,51.0,307.0,387.0,369.0,234.0,341.0,133.0,,393.0,Fourth Line,65,591.11666666667,1,3,4,5.34,21.43,47.41,31,1979-02-15,CAN,CAN,73,208,1997,4,84,8466216.0
2010-2011,Ales Hemsky,EDM,F,100.0,410.0,203.0,207.0,190.0,387.0,224.0,73.0,24.0,287.0,107.0,374.0,,52.0,First Line,47,859.26666666667,14,28,42,11.66,49.18,44.34,27,1983-08-13,CZE,CZE,72,177,2001,1,13,8469466.0
2010-2011,Ales Kotalik,CGY,F,218.0,256.0,228.0,,240.0,142.0,16.0,229.0,404.0,116.0,308.0,138.0,,217.0,Fourth Line,26,321.7,4,2,6,4.03,35.00,50.61,31,1978-12-23,CZE,CZE,73,225,1998,6,164,8467502.0
2010-2011,Alex Frolov,NYR,F,140.0,277.0,239.0,,30.0,192.0,216.0,169.0,186.0,176.0,218.0,293.0,,190.0,Third Line,43,620.33333333333,7,9,16,9.09,60.00,55.43,28,1982-06-19,RUS,RUS,74,210,2000,1,20,8468500.0
2010-2011,Alex Kovalev,OTT,F,213.0,401.0,194.0,,199.0,263.0,255.0,235.0,136.0,135.0,287.0,395.0,,166.0,Second Line,74,1222.0166666667,16,18,34,16.1,45.59,47.06,37,1973-02-24,RUS,RUS,74,222,1991,1,15,8458529.0
2010-2011,Alex Kovalev,PIT,F,213.0,401.0,194.0,,199.0,263.0,255.0,235.0,136.0,135.0,287.0,395.0,,166.0,Second Line,74,1222.0166666667,16,18,34,16.1,45.59,47.06,37,1973-02-24,RUS,RUS,74,222,1991,1,15,8458529.0
2010-2011,Alex Ovechkin,WSH,F,3.0,351.0,18.0,,11.0,197.0,2.0,14.0,3.0,179.0,64.0,78.0,,2.0,First Line,79,1679.0666666667,32,53,85,36.7,57.73,56.41,24,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214.0
2010-2011,Alex Tanguay,CGY,F,234.0,271.0,235.0,180.0,195.0,201.0,393.0,160.0,62.0,168.0,193.0,372.0,,143.0,First Line,79,1561.1666666667,22,47,69,14.93,55.66,54.88,30,1979-11-21,CAN,CAN,73,194,1998,1,12,8467338.0
2010-2011,Alexander Burmistrov,ATL,F,371.0,302.0,,178.0,371.0,328.0,327.0,352.0,371.0,98.0,11.0,263.0,168.0,343.0,Fourth Line,74,978.06666666667,6,14,20,7.7,42.62,43.26,18,1991-10-21,RUS,RUS,73,180,2010,1,8,8475788.0
2010-2011,Alexander Semin,WSH,F,4.0,255.0,20.0,21.0,37.0,193.0,10.0,2.0,31.0,138.0,357.0,381.0,,16.0,Second Line,65,1167.6,28,26,54,20.55,65.22,55.26,26,1984-03-03,RUS,RUS,74,211,2002,1,13,8470120.0
2010-2011,Alexander Steen,STL,F,122.0,138.0,99.0,165.0,210.0,116.0,97.0,82.0,157.0,238.0,37.0,346.0,,67.0,First Line,72,1407.7,20,31,51,21.89,48.24,52.17,26,1984-03-01,CAN,SWE,72,211,2002,1,24,8470257.0
2010-2011,Alexandre Burrows,VAN,F,40.0,141.0,241.0,36.0,35.0,210.0,112.0,6.0,300.0,3.0,137.0,210.0,,88.0,Second Line,72,1226.2833333333,26,22,48,18.89,60.71,52.23,29,1981-04-11,CAN,CAN,73,197,-,-,-,8470358.0
2010-2011,Alexei Ponikarovsky,LAK,F,139.0,90.0,219.0,17.0,121.0,44.0,134.0,223.0,141.0,102.0,382.0,76.0,,208.0,Fourth Line,61,768.56666666667,5,10,15,7.47,51.35,51.07,30,1980-04-09,UKR,UKR,76,225,1998,4,87,8467412.0
