Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2018-2019,Adam Erne,TBL,F,324.0,55.0,,,282.0,56.0,269.0,315.0,302.0,329.0,274.0,19.0,,354.0,Fourth Line,65,685.63333333333,7,13,20,6.73,58.33,51.63,23,1995-04-20,USA,USA,73,212,2013,2,33,8477454.0
2018-2019,Adam Gaudette,VAN,F,388.0,314.0,265.0,,421.0,367.0,391.0,301.0,298.0,25.0,41.0,180.0,180.0,407.0,Fourth Line,56,613.15,5,7,12,5.75,41.46,40.55,21,1996-10-03,USA,USA,73,194,2015,5,149,8478874.0
2018-2019,Adam Henrique,ANA,F,331.0,112.0,119.0,98.0,297.0,257.0,388.0,225.0,301.0,161.0,228.0,262.0,72.0,141.0,Second Line,82,1349.0,18,24,42,16.71,52.11,47.57,28,1990-02-06,CAN,CAN,72,195,2008,3,82,8474641.0
2018-2019,Adam Lowry,WPG,F,244.0,13.0,,82.0,230.0,16.0,313.0,196.0,239.0,385.0,137.0,31.0,4.0,260.0,Third Line,78,1141.7833333333,12,11,23,12.54,50.85,52.15,25,1993-03-29,USA,USA,78,208,2011,3,67,8476392.0
2018-2019,Adrian Kempe,LAK,F,333.0,245.0,189.0,,248.0,95.0,336.0,233.0,388.0,100.0,386.0,197.0,170.0,288.0,Third Line,81,1174.5166666667,12,16,28,10.06,44.62,53.05,21,1996-09-13,SWE,SWE,74,200,2014,1,29,8477960.0
2018-2019,Aleksander Barkov,FLA,F,83.0,173.0,94.0,80.0,153.0,332.0,189.0,125.0,26.0,365.0,8.0,416.0,19.0,18.0,First Line,82,1833.0166666667,35,61,96,23.74,52.24,46.91,22,1995-09-02,FIN,FIN,75,215,2013,1,2,8477493.0
2018-2019,Alex Chiasson,EDM,F,358.0,259.0,29.0,,363.0,296.0,403.0,199.0,323.0,300.0,360.0,202.0,,224.0,Second Line,73,1238.8333333333,22,16,38,17.9,49.23,46.89,27,1990-10-01,CAN,CAN,76,208,2009,2,38,8475163.0
2018-2019,Alex DeBrincat,CHI,F,82.0,392.0,95.0,,135.0,397.0,69.0,13.0,314.0,72.0,135.0,382.0,,57.0,Second Line,82,1451.4,41,35,76,21.98,53.66,46.38,20,1997-12-18,USA,USA,68,178,2016,2,39,8479337.0
2018-2019,Alex Galchenyuk,ARI,F,258.0,387.0,73.0,,224.0,395.0,267.0,267.0,255.0,19.0,266.0,282.0,133.0,117.0,Second Line,72,1132.6333333333,19,22,41,18.35,39.06,46.04,24,1994-02-12,USA,USA,73,194,2012,1,3,8476851.0
2018-2019,Alex Iafallo,LAK,F,344.0,170.0,201.0,,336.0,217.0,328.0,310.0,307.0,328.0,269.0,260.0,,218.0,Second Line,82,1380.0333333333,15,18,33,13.8,45.74,45.14,24,1993-12-21,USA,USA,72,200,-,-,-,8480113.0
