Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2020-2021,Aaron Ekblad,FLA,D,37.0,110.0,8.0,78.0,88.0,34.0,22.0,7.0,170.0,35.0,134.0,194.0,,20.0,First Pair,35,878.18333333333,11,5,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1
2020-2021,Adam Boqvist,CHI,D,135.0,219.0,69.0,,140.0,223.0,132.0,66.0,32.0,91.0,1.0,162.0,,109.0,Third Pair,34,576.98333333333,2,2,24,2000-08-15,SWE,SWE,72,182,2018,1,8,8
2020-2021,Adam Fox,NYR,D,63.0,41.0,67.0,151.0,116.0,87.0,97.0,63.0,179.0,8.0,105.0,225.0,,18.0,First Pair,55,1358.85,5,19,27,1998-02-17,USA,USA,71,182,2016,3,5,66
2020-2021,Adam Larsson,EDM,D,203.0,34.0,,39.0,196.0,95.0,182.0,147.0,224.0,209.0,180.0,18.0,,108.0,Second Pair,56,1100.25,4,2,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4
2020-2021,Adam Pelech,NYI,D,130.0,47.0,,54.0,106.0,48.0,135.0,138.0,229.0,160.0,115.0,80.0,,93.0,Second Pair,56,1178.35,4,5,30,1994-08-16,CAN,CAN,75,210,2012,3,4,65
2020-2021,Alec Martinez,VGK,D,48.0,33.0,23.0,33.0,17.0,158.0,130.0,41.0,56.0,85.0,82.0,179.0,,25.0,First Pair,53,1195.9833333333,9,9,37,1987-07-26,USA,USA,73,210,2007,4,4,95
2020-2021,Alex Goligoski,ARI,D,129.0,128.0,57.0,30.0,63.0,169.0,170.0,152.0,90.0,93.0,60.0,131.0,,55.0,First Pair,56,1288.3666666667,3,7,39,1985-07-30,USA,USA,71,173,2004,2,31,61
2020-2021,Alex Pietrangelo,VGK,D,7.0,67.0,31.0,13.0,31.0,136.0,5.0,11.0,64.0,40.0,30.0,209.0,,6.0,First Pair,41,1001.7333333333,7,7,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4
2020-2021,Alexander Edler,VAN,D,75.0,97.0,77.0,44.0,110.0,209.0,60.0,148.0,230.0,64.0,213.0,66.0,,28.0,Second Pair,52,1087.1333333333,0,5,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91
2020-2021,Alexander Romanov,MTL,D,149.0,149.0,,104.0,73.0,73.0,99.0,212.0,60.0,198.0,99.0,21.0,,193.0,Third Pair,54,931.83333333333,1,3,25,2000-01-06,RUS,RUS,73,215,2018,2,7,38
