Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2012-2013,Aaron Rome,DAL,D,165.0,158.0,,134.0,187.0,175.0,168.0,129.0,206.0,77.0,202.0,44.0,,182.0,Third Pair,27,414.01666666667,0,3,41,1983-09-27,CAN,CAN,73,220,2002,4,8,104
2012-2013,Adam Larsson,NJD,D,212.0,37.0,119.0,141.0,220.0,14.0,184.0,201.0,149.0,112.0,95.0,129.0,,175.0,Second Pair,37,669.75,0,3,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4
2012-2013,Adam McQuaid,BOS,D,124.0,15.0,,140.0,113.0,49.0,138.0,136.0,52.0,152.0,181.0,21.0,,172.0,Third Pair,32,457.35,1,2,38,1986-10-12,CAN,CAN,76,210,2005,2,25,55
2012-2013,Adam Pardy,BUF,D,215.0,82.0,,,207.0,65.0,204.0,215.0,166.0,161.0,166.0,80.0,,208.0,Third Pair,17,280.61666666667,0,1,41,1984-03-29,CAN,CAN,76,227,2004,6,10,173
2012-2013,Adrian Aucoin,CBJ,D,170.0,181.0,135.0,84.0,163.0,94.0,143.0,196.0,95.0,182.0,158.0,93.0,,218.0,Third Pair,36,588.0,0,2,52,1973-07-03,CAN,CAN,74,215,1992,5,21,117
2012-2013,Alec Martinez,LAK,D,74.0,1.0,103.0,,26.0,3.0,42.0,50.0,6.0,165.0,105.0,108.0,,142.0,Third Pair,27,432.61666666667,1,0,38,1987-07-26,USA,USA,73,210,2007,4,4,95
2012-2013,Alex Goligoski,DAL,D,21.0,144.0,43.0,39.0,71.0,71.0,37.0,58.0,93.0,15.0,23.0,168.0,,32.0,First Pair,47,1052.1166666667,3,11,40,1985-07-30,USA,USA,71,173,2004,2,31,61
2012-2013,Alex Pietrangelo,STL,D,20.0,46.0,12.0,1.0,89.0,51.0,26.0,42.0,64.0,13.0,21.0,200.0,,10.0,First Pair,47,1180.3,5,10,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4
2012-2013,Alexander Edler,VAN,D,25.0,119.0,1.0,22.0,83.0,145.0,9.0,20.0,4.0,54.0,73.0,100.0,,6.0,First Pair,45,1073.1666666667,8,4,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91
2012-2013,Alexander Sulzer,BUF,D,22.0,203.0,,,32.0,194.0,135.0,11.0,125.0,185.0,85.0,194.0,,132.0,Third Pair,17,280.91666666667,3,0,41,1984-05-30,DEU,DEU,73,198,2003,3,24,92
