Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2015-2016,Aaron Ekblad,FLA,D,53.0,80.0,76.0,,182.0,17.0,30.0,13.0,30.0,88.0,114.0,142.0,,50.0,Second Pair,78,1690.8166666667,15,8,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1
2015-2016,Adam Clendening,"EDM, PIT",D,156.0,222.0,,,103.0,212.0,90.0,132.0,39.0,186.0,223.0,179.0,,158.0,Third Pair,29,429.08333333333,1,1,32,1992-10-26,USA,USA,72,194,2011,2,6,36
2015-2016,Adam Larsson,NJD,D,203.0,6.0,,133.0,226.0,9.0,194.0,159.0,228.0,118.0,176.0,77.0,,104.0,First Pair,82,1846.1,3,6,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4
2015-2016,Adam McQuaid,BOS,D,190.0,34.0,,119.0,136.0,56.0,204.0,206.0,105.0,198.0,214.0,25.0,,173.0,Second Pair,64,1154.5666666667,1,3,38,1986-10-12,CAN,CAN,76,210,2005,2,25,55
2015-2016,Adam Pardy,"EDM, WPG",D,125.0,166.0,,165.0,98.0,141.0,180.0,228.0,35.0,70.0,112.0,67.0,,201.0,Third Pair,23,365.33333333333,0,3,41,1984-03-29,CAN,CAN,76,227,2004,6,10,173
2015-2016,Alec Martinez,LAK,D,29.0,17.0,10.0,117.0,32.0,68.0,47.0,19.0,106.0,46.0,60.0,66.0,,37.0,Second Pair,78,1649.75,10,13,37,1987-07-26,USA,USA,73,210,2007,4,4,95
2015-2016,Alex Biega,VAN,D,198.0,229.0,,,208.0,230.0,136.0,229.0,151.0,180.0,117.0,29.0,,218.0,Third Pair,51,854.93333333333,0,3,37,1988-04-04,CAN,CAN,70,195,2006,5,24,147
2015-2016,Alex Goligoski,DAL,D,15.0,190.0,63.0,36.0,1.0,184.0,116.0,131.0,148.0,33.0,42.0,152.0,,41.0,First Pair,82,1954.1333333333,5,14,39,1985-07-30,USA,USA,71,173,2004,2,31,61
2015-2016,Alex Petrovic,FLA,D,186.0,133.0,,149.0,178.0,110.0,191.0,211.0,93.0,147.0,177.0,20.0,,207.0,Third Pair,66,1119.0666666667,2,9,33,1992-03-03,CAN,CAN,76,220,2010,2,6,36
2015-2016,Alex Pietrangelo,STL,D,20.0,90.0,64.0,49.0,49.0,127.0,42.0,86.0,112.0,18.0,8.0,215.0,,14.0,First Pair,73,1920.25,7,19,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4
