Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2011-2012,Aaron Johnson,CBJ,D,103.0,179.0,,136.0,172.0,183.0,127.0,53.0,176.0,86.0,149.0,42.0,,159.0,Third Pair,56,924.4,3,6,42,1983-04-30,CAN,CAN,73,204,2001,3,22,85
2011-2012,Aaron Rome,VAN,D,148.0,98.0,,176.0,129.0,126.0,110.0,79.0,195.0,163.0,216.0,59.0,,178.0,Third Pair,43,654.73333333333,4,3,41,1983-09-27,CAN,CAN,73,220,2002,4,8,104
2011-2012,Adam Larsson,NJD,D,207.0,87.0,95.0,,224.0,22.0,185.0,190.0,154.0,102.0,153.0,130.0,,170.0,Second Pair,65,1340.3333333333,2,8,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4
2011-2012,Adam McQuaid,BOS,D,130.0,26.0,,100.0,175.0,108.0,155.0,142.0,153.0,151.0,151.0,40.0,,166.0,Third Pair,72,1076.5666666667,2,2,38,1986-10-12,CAN,CAN,76,210,2005,2,25,55
2011-2012,Adam Pardy,DAL,D,140.0,12.0,,,104.0,11.0,125.0,204.0,62.0,152.0,120.0,84.0,,185.0,Third Pair,36,592.9,0,0,41,1984-03-29,CAN,CAN,76,227,2004,6,10,173
2011-2012,Adrian Aucoin,PHX,D,95.0,180.0,121.0,96.0,76.0,111.0,80.0,156.0,157.0,174.0,184.0,83.0,,146.0,Second Pair,64,1295.8666666667,2,0,52,1973-07-03,CAN,CAN,74,215,1992,5,21,117
2011-2012,Alec Martinez,LAK,D,39.0,2.0,71.0,,44.0,1.0,30.0,10.0,14.0,93.0,112.0,110.0,,135.0,Third Pair,51,750.71666666667,6,5,38,1987-07-26,USA,USA,73,210,2007,4,4,95
2011-2012,Alex Goligoski,DAL,D,21.0,79.0,46.0,27.0,45.0,37.0,34.0,13.0,56.0,35.0,28.0,194.0,,33.0,First Pair,71,1616.7666666667,9,13,40,1985-07-30,USA,USA,71,173,2004,2,31,61
2011-2012,Alex Pietrangelo,STL,D,12.0,55.0,70.0,103.0,59.0,49.0,27.0,23.0,99.0,21.0,55.0,189.0,,10.0,First Pair,81,2003.2333333333,12,21,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4
2011-2012,Alexander Edler,VAN,D,17.0,95.0,3.0,59.0,62.0,128.0,11.0,29.0,5.0,12.0,97.0,109.0,,6.0,First Pair,82,1956.9,11,16,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91
2011-2012,Alexander Sulzer,"BUF, VAN",D,77.0,141.0,,,88.0,157.0,118.0,69.0,88.0,119.0,65.0,175.0,,151.0,Third Pair,27,481.23333333333,3,3,41,1984-05-30,DEU,DEU,73,198,2003,3,24,92
2011-2012,Alexei Emelin,MTL,D,200.0,221.0,,114.0,174.0,202.0,168.0,140.0,206.0,209.0,11.0,4.0,,206.0,Third Pair,67,1158.7666666667,3,3,39,1986-04-25,RUS,RUS,74,218,2004,3,19,84
2011-2012,Andreas Lilja,PHI,D,209.0,182.0,,166.0,207.0,225.0,209.0,228.0,69.0,194.0,230.0,54.0,,181.0,Third Pair,46,629.61666666667,0,3,50,1975-07-13,SWE,SWE,75,220,2000,2,24,54
2011-2012,Andrej Meszaros,PHI,D,8.0,166.0,35.0,28.0,16.0,190.0,36.0,41.0,147.0,39.0,170.0,44.0,,50.0,Second Pair,62,1281.2,7,11,39,1985-10-13,SVK,SVK,74,223,2004,1,23,23
2011-2012,Andrej Sekera,BUF,D,118.0,107.0,113.0,120.0,125.0,64.0,106.0,132.0,151.0,132.0,7.0,179.0,,133.0,Second Pair,69,1352.5833333333,3,4,39,1986-06-08,SVK,SVK,72,200,2004,3,6,71
2011-2012,Andrew Alberts,VAN,D,201.0,165.0,,144.0,204.0,141.0,220.0,125.0,216.0,204.0,205.0,7.0,,231.0,Third Pair,44,629.05,2,0,44,1981-06-30,USA,USA,77,218,2001,6,14,179
2011-2012,Andrew Ference,BOS,D,111.0,169.0,,21.0,177.0,101.0,75.0,95.0,105.0,140.0,45.0,142.0,,127.0,Second Pair,72,1359.95,6,7,46,1979-03-17,CAN,CAN,71,182,1997,8,18,208
2011-2012,Andrew MacDonald,NYI,D,181.0,60.0,62.0,128.0,130.0,209.0,178.0,126.0,149.0,158.0,24.0,208.0,,55.0,First Pair,75,1753.1166666667,5,2,38,1986-09-07,CAN,CAN,73,204,2006,6,7,160
2011-2012,Andy Greene,NJD,D,187.0,6.0,111.0,3.0,213.0,7.0,177.0,180.0,53.0,74.0,36.0,210.0,,86.0,Second Pair,56,1092.3,1,7,42,1982-10-30,USA,USA,71,190,-,-,-,-
2011-2012,Andy Sutton,EDM,D,139.0,111.0,,19.0,119.0,216.0,186.0,148.0,76.0,179.0,235.0,20.0,,125.0,Third Pair,52,867.56666666667,3,3,50,1975-03-10,CAN,CAN,78,245,-,-,-,-
2011-2012,Anton Babchuk,CGY,D,52.0,9.0,76.0,,163.0,95.0,16.0,22.0,28.0,32.0,161.0,216.0,,59.0,Third Pair,32,463.65,2,5,41,1984-05-06,UKR,UKR,77,200,2002,1,21,21
2011-2012,Anton Stralman,NYR,D,122.0,74.0,42.0,,105.0,60.0,81.0,163.0,67.0,36.0,109.0,128.0,,95.0,Third Pair,53,906.26666666667,2,8,39,1986-08-01,SWE,SWE,71,193,2005,7,22,216
2011-2012,Anton Volchenkov,NJD,D,164.0,1.0,,24.0,205.0,3.0,154.0,197.0,110.0,162.0,140.0,26.0,,134.0,Third Pair,72,1294.0,2,4,43,1982-02-25,RUS,RUS,73,220,2000,1,21,21
2011-2012,Barret Jackman,STL,D,151.0,83.0,,17.0,91.0,94.0,172.0,227.0,214.0,176.0,38.0,117.0,,122.0,Second Pair,81,1674.9666666667,1,5,44,1981-03-05,CAN,CAN,72,203,1999,1,17,17
2011-2012,Ben Lovejoy,PIT,D,13.0,17.0,,,65.0,26.0,29.0,102.0,21.0,56.0,194.0,108.0,,143.0,Third Pair,34,450.5,1,2,41,1984-02-20,USA,USA,73,205,-,-,-,-
2011-2012,Brad Stuart,DET,D,85.0,117.0,136.0,76.0,83.0,76.0,126.0,111.0,75.0,134.0,19.0,55.0,,98.0,Second Pair,81,1705.4333333333,6,6,45,1979-11-06,CAN,CAN,74,215,1998,1,3,3
2011-2012,Brayden McNabb,BUF,D,189.0,32.0,,,190.0,54.0,182.0,160.0,201.0,133.0,27.0,50.0,,161.0,Third Pair,25,445.96666666667,1,2,34,1991-01-21,CAN,CAN,76,215,2009,3,5,66
2011-2012,Braydon Coburn,PHI,D,49.0,188.0,133.0,14.0,36.0,143.0,89.0,166.0,127.0,90.0,173.0,63.0,,102.0,First Pair,81,1785.5333333333,4,10,40,1985-02-27,CAN,CAN,77,224,2003,1,8,8
2011-2012,Brendan Mikkelson,TBL,D,203.0,197.0,,,199.0,186.0,119.0,217.0,11.0,193.0,23.0,105.0,,230.0,Third Pair,41,590.41666666667,1,2,38,1987-06-22,CAN,CAN,75,210,2005,2,1,31
2011-2012,Brent Burns,SJS,D,14.0,129.0,13.0,83.0,60.0,58.0,18.0,11.0,185.0,42.0,113.0,139.0,,20.0,First Pair,81,1825.65,11,14,40,1985-03-09,CAN,CAN,77,230,2003,1,20,20
2011-2012,Brent Seabrook,CHI,D,36.0,52.0,51.0,80.0,25.0,59.0,68.0,57.0,66.0,62.0,54.0,41.0,,19.0,First Pair,78,1928.5166666667,9,8,40,1985-04-20,CAN,CAN,75,220,2003,1,14,14
2011-2012,Brett Clark,TBL,D,143.0,10.0,60.0,6.0,108.0,106.0,165.0,96.0,204.0,95.0,76.0,98.0,,76.0,Second Pair,82,1506.8,2,7,48,1976-12-23,CAN,CAN,72,194,1996,6,19,154
2011-2012,Brett Lebda,CBJ,D,161.0,209.0,130.0,,183.0,156.0,77.0,175.0,123.0,218.0,179.0,155.0,,227.0,Third Pair,30,494.3,1,1,43,1982-01-15,USA,USA,69,195,-,-,-,-
2011-2012,Brian Campbell,FLA,D,108.0,39.0,34.0,130.0,78.0,16.0,111.0,118.0,33.0,22.0,5.0,231.0,,37.0,First Pair,82,2205.5166666667,4,23,46,1979-05-23,CAN,CAN,70,192,1997,6,22,156
