Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2014-2015,Aaron Ekblad,FLA,D,65.0,90.0,88.0,,133.0,36.0,47.0,29.0,23.0,77.0,160.0,141.0,,55.0,Second Pair,81,1766.6166666667,12,10,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1
2014-2015,Adam Clendening,"CHI, VAN",D,220.0,230.0,,,108.0,225.0,185.0,136.0,26.0,193.0,225.0,211.0,,210.0,Third Pair,21,349.38333333333,1,1,32,1992-10-26,USA,USA,72,194,2011,2,6,36
2014-2015,Adam Larsson,NJD,D,135.0,9.0,,133.0,206.0,11.0,158.0,171.0,168.0,87.0,117.0,100.0,,117.0,Second Pair,64,1341.6333333333,3,9,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4
2014-2015,Adam McQuaid,BOS,D,158.0,17.0,,147.0,122.0,21.0,171.0,191.0,104.0,179.0,208.0,29.0,,192.0,Second Pair,63,1161.4666666667,1,2,38,1986-10-12,CAN,CAN,76,210,2005,2,25,55
2014-2015,Adam Pardy,WPG,D,205.0,125.0,,150.0,156.0,58.0,216.0,226.0,55.0,125.0,112.0,72.0,,226.0,Third Pair,55,826.03333333333,0,5,41,1984-03-29,CAN,CAN,76,227,2004,6,10,173
2014-2015,Alec Martinez,LAK,D,22.0,12.0,94.0,136.0,62.0,26.0,39.0,16.0,43.0,75.0,24.0,81.0,,58.0,Second Pair,56,1115.4,6,9,37,1987-07-26,USA,USA,73,210,2007,4,4,95
2014-2015,Alex Goligoski,DAL,D,32.0,153.0,51.0,62.0,15.0,131.0,95.0,142.0,145.0,22.0,17.0,159.0,,34.0,First Pair,81,1928.7166666667,4,17,39,1985-07-30,USA,USA,71,173,2004,2,31,61
2014-2015,Alex Petrovic,FLA,D,222.0,188.0,,,192.0,172.0,190.0,224.0,27.0,230.0,197.0,31.0,,228.0,Third Pair,33,536.56666666667,0,0,33,1992-03-03,CAN,CAN,76,220,2010,2,6,36
2014-2015,Alex Pietrangelo,STL,D,31.0,55.0,37.0,8.0,76.0,87.0,46.0,87.0,59.0,18.0,10.0,218.0,,12.0,First Pair,81,2058.1166666667,7,16,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4
2014-2015,Alexander Edler,VAN,D,62.0,70.0,14.0,11.0,88.0,97.0,12.0,49.0,107.0,108.0,145.0,119.0,,19.0,First Pair,74,1774.45,8,8,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91
2014-2015,Alexei Emelin,MTL,D,184.0,166.0,,84.0,158.0,179.0,211.0,127.0,186.0,169.0,108.0,11.0,,133.0,Second Pair,68,1347.5666666667,3,3,39,1986-04-25,RUS,RUS,74,218,2004,3,19,84
2014-2015,Andre Benoit,BUF,D,198.0,160.0,66.0,122.0,212.0,209.0,136.0,120.0,195.0,118.0,82.0,185.0,,116.0,Second Pair,59,1069.3833333333,1,3,41,1984-01-06,CAN,CAN,71,190,-,-,-,-
2014-2015,Andrei Markov,MTL,D,59.0,145.0,32.0,69.0,34.0,163.0,105.0,51.0,172.0,10.0,40.0,216.0,,16.0,First Pair,81,2017.7333333333,10,24,46,1978-12-20,RUS,RUS,72,200,1998,6,17,162
2014-2015,Andrej Meszaros,BUF,D,66.0,197.0,114.0,,215.0,215.0,81.0,21.0,112.0,99.0,214.0,116.0,,91.0,Third Pair,60,1074.3833333333,7,3,39,1985-10-13,SVK,SVK,74,223,2004,1,23,23
2014-2015,Andrej Sekera,"CAR, LAK",D,54.0,168.0,49.0,20.0,19.0,201.0,97.0,93.0,97.0,63.0,19.0,199.0,,51.0,Second Pair,73,1605.1166666667,3,7,39,1986-06-08,SVK,SVK,72,200,2004,3,6,71
2014-2015,Andrej Sustr,TBL,D,208.0,119.0,,146.0,182.0,61.0,196.0,213.0,148.0,199.0,207.0,193.0,,218.0,Third Pair,72,1274.5666666667,0,5,34,1990-11-29,CZE,CZE,79,217,-,-,-,-
2014-2015,Andrew Campbell,ARI,D,218.0,180.0,,113.0,148.0,221.0,203.0,229.0,223.0,231.0,195.0,58.0,,220.0,Third Pair,33,578.71666666667,0,0,37,1988-02-04,CAN,CAN,76,205,2008,3,13,74
2014-2015,Andrew Ference,EDM,D,190.0,221.0,,82.0,193.0,211.0,175.0,140.0,160.0,200.0,110.0,53.0,,155.0,Second Pair,70,1321.3833333333,3,0,46,1979-03-17,CAN,CAN,71,182,1997,8,18,208
2014-2015,Andrew MacDonald,PHI,D,211.0,109.0,56.0,34.0,159.0,175.0,180.0,168.0,66.0,142.0,111.0,196.0,,79.0,Second Pair,58,1160.7833333333,2,4,38,1986-09-07,CAN,CAN,73,204,2006,6,7,160
2014-2015,Andy Greene,NJD,D,183.0,3.0,108.0,53.0,177.0,3.0,157.0,126.0,212.0,137.0,23.0,177.0,,71.0,First Pair,82,1930.6333333333,3,7,42,1982-10-30,USA,USA,71,190,-,-,-,-
2014-2015,Anton Stralman,TBL,D,28.0,100.0,101.0,32.0,7.0,27.0,85.0,101.0,64.0,83.0,39.0,138.0,,115.0,Second Pair,82,1799.5833333333,9,15,38,1986-08-01,SWE,SWE,71,193,2005,7,22,216
2014-2015,Anton Volchenkov,NSH,D,153.0,13.0,,142.0,109.0,8.0,160.0,221.0,44.0,163.0,99.0,27.0,,205.0,Third Pair,46,606.2,0,1,43,1982-02-25,RUS,RUS,73,220,2000,1,21,21
2014-2015,Barret Jackman,STL,D,125.0,8.0,,1.0,114.0,25.0,153.0,162.0,173.0,121.0,77.0,90.0,,142.0,Third Pair,80,1345.2833333333,2,6,44,1981-03-05,CAN,CAN,72,203,1999,1,17,17
2014-2015,Ben Chiarot,WPG,D,81.0,86.0,,,44.0,72.0,177.0,131.0,194.0,98.0,201.0,71.0,,198.0,Third Pair,40,680.91666666667,2,4,34,1991-05-09,CAN,CAN,75,232,2009,4,29,120
2014-2015,Ben Lovejoy,"ANA, PIT",D,79.0,52.0,,116.0,56.0,95.0,79.0,164.0,120.0,122.0,121.0,26.0,,86.0,Second Pair,60,1165.8833333333,2,4,41,1984-02-20,USA,USA,73,205,-,-,-,-
2014-2015,Brad Stuart,COL,D,177.0,110.0,,75.0,163.0,166.0,182.0,160.0,204.0,175.0,37.0,44.0,,125.0,Second Pair,65,1321.0,3,4,45,1979-11-06,CAN,CAN,74,215,1998,1,3,3
2014-2015,Brandon Gormley,ARI,D,115.0,177.0,,,200.0,191.0,58.0,63.0,8.0,206.0,187.0,134.0,,174.0,Third Pair,27,413.7,2,1,33,1992-02-18,CAN,CAN,74,188,2010,1,13,13
2014-2015,Brayden McNabb,LAK,D,77.0,138.0,90.0,,69.0,43.0,117.0,189.0,72.0,46.0,151.0,23.0,,179.0,Third Pair,71,1128.8333333333,2,8,34,1991-01-21,CAN,CAN,76,215,2009,3,5,66
2014-2015,Braydon Coburn,"PHI, TBL",D,141.0,112.0,,24.0,172.0,64.0,138.0,184.0,178.0,146.0,146.0,98.0,,127.0,Second Pair,43,857.4,1,4,40,1985-02-27,CAN,CAN,77,224,2003,1,8,8
2014-2015,Brendan Smith,DET,D,132.0,46.0,129.0,128.0,121.0,4.0,122.0,121.0,11.0,165.0,81.0,157.0,,175.0,Third Pair,76,1359.7166666667,4,3,36,1989-02-08,CAN,CAN,74,200,2007,1,27,27
2014-2015,Brenden Dillon,"DAL, SJS",D,106.0,141.0,,76.0,36.0,155.0,127.0,144.0,182.0,198.0,106.0,48.0,,126.0,Second Pair,80,1565.6833333333,2,3,34,1990-11-13,CAN,CAN,76,224,-,-,-,-
2014-2015,Brent Burns,SJS,D,1.0,183.0,2.0,155.0,31.0,115.0,1.0,1.0,103.0,2.0,119.0,67.0,,5.0,First Pair,82,1964.3666666667,17,24,40,1985-03-09,CAN,CAN,77,230,2003,1,20,20
2014-2015,Brent Seabrook,CHI,D,26.0,113.0,25.0,29.0,9.0,124.0,45.0,58.0,19.0,53.0,52.0,87.0,,30.0,First Pair,82,1818.7,8,10,40,1985-04-20,CAN,CAN,75,220,2003,1,14,14
2014-2015,Brett Bellemore,CAR,D,189.0,140.0,,158.0,161.0,118.0,223.0,159.0,187.0,150.0,143.0,9.0,,211.0,Third Pair,49,802.48333333333,2,5,37,1988-06-25,CAN,CAN,76,225,2007,6,11,162
2014-2015,Brian Campbell,FLA,D,163.0,62.0,59.0,27.0,86.0,30.0,154.0,119.0,38.0,60.0,44.0,226.0,,74.0,First Pair,82,1903.0833333333,3,13,46,1979-05-23,CAN,CAN,70,192,1997,6,22,156
2014-2015,Brian Strait,NYI,D,145.0,219.0,,123.0,48.0,226.0,181.0,145.0,113.0,213.0,120.0,51.0,,157.0,Second Pair,52,955.25,2,0,37,1988-01-04,USA,USA,73,188,2006,3,2,65
2014-2015,Brooks Orpik,WSH,D,202.0,47.0,,83.0,97.0,128.0,224.0,219.0,147.0,166.0,134.0,12.0,,110.0,Second Pair,78,1699.8166666667,0,7,44,1980-09-26,USA,USA,75,217,2000,1,18,18
2014-2015,Calvin de Haan,NYI,D,64.0,92.0,119.0,108.0,22.0,151.0,100.0,187.0,175.0,102.0,98.0,56.0,,83.0,Second Pair,65,1235.6666666667,1,5,34,1991-05-09,CAN,CAN,73,195,2009,1,12,12
2014-2015,Cam Fowler,ANA,D,150.0,147.0,39.0,119.0,78.0,121.0,152.0,91.0,117.0,66.0,31.0,214.0,,68.0,Second Pair,80,1690.95,7,11,33,1991-12-05,CAN,USA,74,215,2010,1,12,12
2014-2015,Carl Gunnarsson,STL,D,206.0,58.0,,6.0,173.0,146.0,219.0,178.0,153.0,162.0,25.0,113.0,,124.0,Second Pair,61,1101.95,2,4,38,1986-11-09,SWE,SWE,74,198,2007,7,13,194
2014-2015,Carlo Colaiacovo,PHI,D,90.0,25.0,,,111.0,20.0,114.0,114.0,50.0,62.0,212.0,94.0,,194.0,Third Pair,33,544.0,2,4,42,1983-01-27,CAN,CAN,73,202,2001,1,17,17
2014-2015,Chris Butler,STL,D,123.0,68.0,,151.0,175.0,130.0,94.0,103.0,111.0,104.0,61.0,145.0,,93.0,Third Pair,33,567.3,3,3,38,1986-10-27,USA,USA,73,196,2005,4,5,96
2014-2015,Chris Phillips,OTT,D,165.0,205.0,105.0,67.0,95.0,184.0,165.0,203.0,124.0,170.0,100.0,69.0,,160.0,Second Pair,36,752.26666666667,0,2,47,1978-03-09,CAN,CAN,75,219,1996,1,1,1
2014-2015,Chris Tanev,VAN,D,185.0,6.0,,3.0,106.0,44.0,218.0,123.0,177.0,168.0,6.0,229.0,,90.0,Second Pair,70,1477.0666666667,2,7,35,1989-12-20,CAN,CAN,74,193,-,-,-,-
2014-2015,Christian Ehrhoff,PIT,D,53.0,171.0,67.0,90.0,116.0,141.0,29.0,109.0,158.0,70.0,63.0,158.0,,50.0,Second Pair,49,1066.1833333333,3,6,43,1982-07-06,DEU,DEU,74,201,2001,4,10,106
2014-2015,Christian Folin,MIN,D,104.0,91.0,,,198.0,74.0,139.0,113.0,135.0,50.0,150.0,115.0,,193.0,Third Pair,40,608.0,2,5,34,1991-02-09,SWE,SWE,75,204,-,-,-,-
2014-2015,Clayton Stoner,ANA,D,160.0,50.0,,2.0,134.0,39.0,161.0,208.0,132.0,154.0,163.0,41.0,,217.0,Third Pair,69,1214.2333333333,1,7,40,1985-02-19,CAN,CAN,76,216,2004,3,14,79
2014-2015,Cody Ceci,OTT,D,45.0,175.0,83.0,103.0,74.0,176.0,56.0,105.0,88.0,97.0,97.0,154.0,,129.0,Second Pair,81,1562.4833333333,5,9,31,1993-12-21,CAN,CAN,74,210,2012,1,15,15
2014-2015,Cody Franson,"NSH, TOR",D,78.0,161.0,24.0,35.0,87.0,186.0,67.0,71.0,211.0,21.0,72.0,28.0,,42.0,Second Pair,78,1531.0,7,13,37,1987-08-08,CAN,CAN,77,224,2005,3,18,79
2014-2015,Cody Goloubef,CBJ,D,161.0,152.0,,,130.0,113.0,212.0,227.0,229.0,32.0,221.0,103.0,,225.0,Third Pair,36,560.35,0,5,35,1989-11-30,CAN,CAN,73,190,2008,2,7,37
