Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2023-2024,Aaron Ekblad,FLA,D,13.0,125.0,10.0,50.0,4.0,48.0,13.0,28.0,102.0,56.0,198.0,123.0,,34.0,Second Pair,51,1064.0,4,6,29.0,1996-02-07,CAN,CAN,76.0,215.0,2014,1,1,1,,
2023-2024,Adam Boqvist,CBJ,D,90.0,249.0,31.0,,71.0,244.0,83.0,59.0,10.0,43.0,6.0,239.0,,94.0,Second Pair,35,639.91666666667,1,5,24.0,2000-08-15,SWE,SWE,72.0,182.0,2018,1,8,8,,
2023-2024,Adam Fox,NYR,D,28.0,28.0,7.0,7.0,57.0,52.0,71.0,10.0,52.0,8.0,13.0,237.0,,4.0,First Pair,72,1687.9333333333,17,25,27.0,1998-02-17,USA,USA,71.0,182.0,2016,3,5,66,,
2023-2024,Adam Larsson,SEA,D,89.0,33.0,,74.0,109.0,41.0,101.0,133.0,20.0,163.0,150.0,68.0,,63.0,First Pair,81,1858.55,4,5,32.0,1992-11-12,SWE,SWE,75.0,209.0,2011,1,4,4,,
2023-2024,Adam Pelech,NYI,D,95.0,116.0,,75.0,98.0,114.0,115.0,178.0,234.0,103.0,88.0,144.0,,76.0,Second Pair,58,1176.3333333333,1,8,30.0,1994-08-16,CAN,CAN,75.0,210.0,2012,3,4,65,,
2023-2024,Alec Martinez,VGK,D,128.0,23.0,,122.0,104.0,225.0,132.0,112.0,141.0,190.0,37.0,215.0,,52.0,Second Pair,55,1047.4333333333,4,5,37.0,1987-07-26,USA,USA,73.0,210.0,2007,4,4,95,,
2023-2024,Alex Goligoski,MIN,D,164.0,72.0,97.0,174.0,150.0,74.0,127.0,235.0,104.0,50.0,170.0,166.0,,162.0,Third Pair,36,533.1,0,7,39.0,1985-07-30,USA,USA,71.0,173.0,2004,2,31,61,,
2023-2024,Alex Pietrangelo,VGK,D,32.0,87.0,35.0,60.0,40.0,201.0,27.0,64.0,55.0,28.0,23.0,214.0,,13.0,First Pair,64,1508.2,4,16,35.0,1990-01-18,CAN,CAN,75.0,215.0,2008,1,4,4,,
2023-2024,Alex Vlasic,CHI,D,247.0,106.0,,115.0,236.0,197.0,237.0,234.0,203.0,226.0,169.0,211.0,,149.0,Second Pair,76,1632.3833333333,2,5,24.0,2001-06-05,USA,USA,78.0,199.0,2019,2,12,43,,
2023-2024,Alexander Alexeyev,WSH,D,246.0,29.0,,,239.0,68.0,218.0,237.0,230.0,231.0,127.0,114.0,,233.0,Third Pair,39,534.15,1,1,25.0,1999-11-15,RUS,RUS,76.0,213.0,2018,1,31,31,,
2023-2024,Alexander Romanov,NYI,D,109.0,203.0,,63.0,114.0,222.0,111.0,151.0,180.0,146.0,67.0,48.0,,85.0,Second Pair,81,1688.0666666667,7,7,25.0,2000-01-06,RUS,RUS,73.0,215.0,2018,2,7,38,,
2023-2024,Alexandre Carrier,NSH,D,165.0,42.0,92.0,26.0,134.0,92.0,175.0,160.0,210.0,124.0,120.0,137.0,,112.0,Second Pair,73,1372.4166666667,4,7,28.0,1996-10-08,CAN,CAN,71.0,174.0,2015,4,24,115,,
2023-2024,Andreas Englund,LAK,D,228.0,46.0,,157.0,162.0,38.0,219.0,241.0,183.0,224.0,39.0,6.0,,247.0,Third Pair,82,1084.2333333333,1,2,29.0,1996-01-21,SWE,SWE,75.0,189.0,2014,2,10,40,,
2023-2024,Andrew Peeke,"BOS, CBJ",D,204.0,102.0,,161.0,228.0,206.0,186.0,177.0,201.0,126.0,90.0,37.0,,103.0,Third Pair,38,623.18333333333,1,6,27.0,1998-03-17,USA,USA,75.0,210.0,2016,2,4,34,,
2023-2024,Arber Xhekaj,MTL,D,54.0,230.0,,,151.0,211.0,41.0,51.0,34.0,84.0,249.0,5.0,,153.0,Third Pair,44,700.8,3,6,24.0,2001-01-30,CAN,CAN,76.0,238.0,-,-,-,-,,
2023-2024,Artem Zub,OTT,D,141.0,95.0,,48.0,90.0,59.0,213.0,126.0,155.0,141.0,171.0,59.0,,118.0,Second Pair,69,1450.25,5,11,29.0,1995-10-03,RUS,RUS,74.0,200.0,-,-,-,-,,
2023-2024,Ben Chiarot,DET,D,168.0,164.0,98.0,84.0,221.0,217.0,100.0,109.0,191.0,135.0,207.0,64.0,,64.0,Second Pair,77,1522.8833333333,5,9,34.0,1991-05-09,CAN,CAN,75.0,232.0,2009,4,29,120,,
2023-2024,Ben Hutton,VGK,D,67.0,8.0,,,123.0,15.0,30.0,74.0,3.0,121.0,30.0,206.0,,113.0,Third Pair,41,666.56666666667,2,4,32.0,1993-04-20,CAN,CAN,75.0,201.0,2012,5,26,147,,
2023-2024,Bowen Byram,"BUF, COL",D,65.0,188.0,82.0,143.0,117.0,170.0,122.0,4.0,84.0,87.0,177.0,98.0,,61.0,Second Pair,73,1485.0,11,6,24.0,2001-06-13,CAN,CAN,73.0,190.0,2019,1,4,4,,
2023-2024,Braden Schneider,NYR,D,163.0,108.0,,142.0,207.0,172.0,136.0,91.0,121.0,155.0,19.0,47.0,,144.0,Third Pair,82,1304.0,5,5,23.0,2001-09-20,CAN,CAN,75.0,208.0,2020,1,19,19,,
2023-2024,Brady Skjei,CAR,D,8.0,60.0,67.0,16.0,14.0,11.0,11.0,8.0,45.0,51.0,140.0,180.0,,39.0,Second Pair,80,1702.25,13,16,31.0,1994-03-26,USA,USA,75.0,210.0,2012,1,28,28,,
2023-2024,Brandon Carlo,BOS,D,183.0,51.0,,17.0,215.0,82.0,169.0,158.0,250.0,174.0,162.0,74.0,,133.0,Second Pair,76,1512.65,4,8,28.0,1996-11-26,USA,USA,78.0,218.0,2015,2,7,37,,
2023-2024,Brandon Montour,FLA,D,18.0,163.0,20.0,171.0,31.0,87.0,7.0,24.0,19.0,45.0,112.0,131.0,,24.0,First Pair,66,1547.5166666667,8,6,31.0,1994-04-11,CAN,CAN,72.0,194.0,2014,2,25,55,,
