Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2022-2023,Aaron Ekblad,FLA,D,10.0,134.0,4.0,49.0,10.0,74.0,9.0,6.0,53.0,38.0,131.0,171.0,,7.0,First Pair,71,1660.9833333333,14,15,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1
2022-2023,Adam Boqvist,CBJ,D,78.0,221.0,34.0,,125.0,219.0,95.0,11.0,5.0,43.0,4.0,213.0,,68.0,Second Pair,46,857.13333333333,5,11,24,2000-08-15,SWE,SWE,72,182,2018,1,8,8
2022-2023,Adam Fox,NYR,D,54.0,24.0,3.0,58.0,86.0,46.0,79.0,40.0,73.0,3.0,32.0,231.0,,5.0,First Pair,82,1998.9666666667,12,28,27,1998-02-17,USA,USA,71,182,2016,3,5,66
2022-2023,Adam Larsson,SEA,D,96.0,15.0,,66.0,139.0,32.0,130.0,78.0,69.0,126.0,188.0,41.0,,62.0,First Pair,82,1938.4666666667,8,12,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4
2022-2023,Adam Pelech,NYI,D,80.0,47.0,,72.0,85.0,67.0,115.0,107.0,225.0,117.0,148.0,137.0,,69.0,Second Pair,61,1320.7666666667,6,6,30,1994-08-16,CAN,CAN,75,210,2012,3,4,65
2022-2023,Alec Martinez,VGK,D,103.0,12.0,92.0,131.0,36.0,163.0,163.0,71.0,112.0,194.0,67.0,193.0,,51.0,Second Pair,77,1480.3166666667,3,4,37,1987-07-26,USA,USA,73,210,2007,4,4,95
2022-2023,Alex Goligoski,MIN,D,142.0,53.0,79.0,146.0,67.0,81.0,133.0,165.0,98.0,129.0,125.0,174.0,,108.0,Third Pair,46,812.66666666667,2,2,39,1985-07-30,USA,USA,71,173,2004,2,31,61
2022-2023,Alex Pietrangelo,VGK,D,23.0,51.0,27.0,36.0,38.0,156.0,15.0,30.0,54.0,32.0,59.0,206.0,,4.0,First Pair,73,1750.6333333333,11,19,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4
2022-2023,Alexander Alexeyev,WSH,D,223.0,160.0,,,221.0,176.0,189.0,230.0,231.0,186.0,102.0,151.0,,197.0,Third Pair,32,526.55,0,2,25,1999-11-15,RUS,RUS,76,213,2018,1,31,31
2022-2023,Alexander Edler,LAK,D,33.0,202.0,,89.0,7.0,148.0,114.0,145.0,101.0,79.0,210.0,61.0,,166.0,Third Pair,64,945.56666666667,2,5,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91
2022-2023,Alexander Romanov,NYI,D,144.0,175.0,,32.0,124.0,179.0,109.0,203.0,132.0,149.0,90.0,26.0,,113.0,Second Pair,76,1478.1666666667,2,11,25,2000-01-06,RUS,RUS,73,215,2018,2,7,38
2022-2023,Alexandre Carrier,NSH,D,162.0,67.0,89.0,120.0,128.0,103.0,149.0,155.0,192.0,101.0,81.0,120.0,,109.0,Third Pair,43,769.2,2,4,28,1996-10-08,CAN,CAN,71,174,2015,4,24,115
2022-2023,Andreas Englund,"CHI, COL",D,224.0,61.0,,,215.0,54.0,192.0,228.0,232.0,201.0,42.0,5.0,,232.0,Fringe,47,569.23333333333,0,2,29,1996-01-21,SWE,SWE,75,189,2014,2,10,40
2022-2023,Andrew Peeke,CBJ,D,216.0,115.0,,103.0,198.0,205.0,221.0,153.0,223.0,228.0,103.0,55.0,,117.0,Second Pair,80,1699.75,6,2,27,1998-03-17,USA,USA,75,210,2016,2,4,34
2022-2023,Arber Xhekaj,MTL,D,93.0,225.0,,,211.0,228.0,41.0,35.0,36.0,99.0,230.0,8.0,,150.0,Third Pair,51,778.8,5,5,24,2001-01-30,CAN,CAN,76,238,-,-,-,-
2022-2023,Artem Zub,OTT,D,191.0,106.0,,62.0,130.0,89.0,222.0,117.0,166.0,203.0,209.0,47.0,,151.0,Second Pair,53,1073.4166666667,3,1,29,1995-10-03,RUS,RUS,74,200,-,-,-,-
2022-2023,Ben Chiarot,DET,D,128.0,146.0,90.0,56.0,170.0,186.0,86.0,99.0,152.0,133.0,213.0,67.0,,66.0,Second Pair,76,1566.1833333333,5,7,34,1991-05-09,CAN,CAN,75,232,2009,4,29,120
2022-2023,Ben Harpur,NYR,D,227.0,195.0,,165.0,229.0,200.0,181.0,220.0,137.0,210.0,124.0,79.0,,200.0,Third Pair,42,590.7,1,0,30,1995-01-12,CAN,CAN,78,231,2013,4,17,108
2022-2023,Ben Hutton,VGK,D,79.0,39.0,,175.0,126.0,70.0,42.0,67.0,44.0,150.0,19.0,166.0,,125.0,Third Pair,31,495.81666666667,3,2,32,1993-04-20,CAN,CAN,75,201,2012,5,26,147
2022-2023,Bowen Byram,COL,D,65.0,111.0,,,102.0,90.0,90.0,8.0,63.0,50.0,198.0,65.0,,64.0,Second Pair,42,918.86666666667,10,8,24,2001-06-13,CAN,CAN,73,190,2019,1,4,4
2022-2023,Brad Hunt,COL,D,60.0,135.0,,,108.0,91.0,65.0,38.0,92.0,67.0,192.0,215.0,,181.0,Fringe,47,527.06666666667,4,3,36,1988-08-24,CAN,CAN,69,177,-,-,-,-
2022-2023,Braden Schneider,NYR,D,209.0,145.0,,,230.0,193.0,205.0,109.0,96.0,156.0,29.0,66.0,,167.0,Third Pair,81,1273.4666666667,5,6,23,2001-09-20,CAN,CAN,75,208,2020,1,19,19
2022-2023,Brady Skjei,CAR,D,9.0,76.0,69.0,34.0,23.0,19.0,20.0,14.0,41.0,93.0,186.0,158.0,,54.0,Second Pair,81,1766.4833333333,18,8,31,1994-03-26,USA,USA,75,210,2012,1,28,28
2022-2023,Brandon Carlo,BOS,D,122.0,7.0,,8.0,117.0,9.0,116.0,112.0,209.0,202.0,116.0,81.0,,123.0,Second Pair,75,1412.3,3,6,28,1996-11-26,USA,USA,78,218,2015,2,7,37
2022-2023,Brandon Montour,FLA,D,8.0,166.0,62.0,133.0,19.0,142.0,13.0,12.0,4.0,28.0,151.0,152.0,,24.0,First Pair,80,1930.1,16,26,31,1994-04-11,CAN,CAN,72,194,2014,2,25,55
2022-2023,Brayden McNabb,VGK,D,158.0,6.0,,33.0,94.0,64.0,166.0,206.0,182.0,171.0,79.0,36.0,,85.0,Second Pair,82,1627.1833333333,1,7,34,1991-01-21,CAN,CAN,76,215,2009,3,5,66
2022-2023,Brendan Smith,NJD,D,81.0,131.0,,136.0,32.0,49.0,84.0,121.0,67.0,218.0,166.0,35.0,,218.0,Third Pair,60,933.2,0,1,36,1989-02-08,CAN,CAN,74,200,2007,1,27,27
2022-2023,Brenden Dillon,WPG,D,135.0,101.0,,78.0,77.0,78.0,179.0,197.0,109.0,119.0,164.0,28.0,,146.0,Second Pair,82,1606.25,2,10,34,1990-11-13,CAN,CAN,76,224,-,-,-,-
2022-2023,Brent Burns,CAR,D,6.0,118.0,12.0,59.0,17.0,56.0,10.0,17.0,55.0,17.0,165.0,222.0,,16.0,First Pair,82,1903.65,18,25,40,1985-03-09,CAN,CAN,77,230,2003,1,20,20
2022-2023,Brett Kulak,EDM,D,116.0,72.0,,121.0,103.0,42.0,98.0,130.0,71.0,148.0,144.0,114.0,,143.0,Third Pair,82,1435.7666666667,3,5,31,1994-01-06,CAN,CAN,73,197,2012,4,14,105
2022-2023,Brett Pesce,CAR,D,27.0,23.0,67.0,11.0,8.0,27.0,52.0,106.0,45.0,55.0,36.0,223.0,,63.0,First Pair,82,1804.7833333333,5,15,30,1994-11-15,USA,USA,75,206,2013,3,5,66
2022-2023,Brian Dumoulin,PIT,D,126.0,62.0,,45.0,59.0,100.0,197.0,199.0,57.0,122.0,35.0,127.0,,105.0,Second Pair,82,1692.55,1,13,33,1991-09-06,USA,USA,76,207,2009,2,21,51
2022-2023,Cal Foote,"NSH, TBL",D,164.0,157.0,,,142.0,141.0,150.0,138.0,106.0,195.0,221.0,58.0,,221.0,Third Pair,50,756.11666666667,2,2,26,1998-12-13,USA,USA,77,224,2017,1,14,14
2022-2023,Cale Makar,COL,D,3.0,18.0,1.0,128.0,16.0,6.0,12.0,1.0,3.0,1.0,6.0,176.0,,2.0,First Pair,60,1582.8166666667,17,29,26,1998-10-30,CAN,CAN,71,187,2017,1,4,4
2022-2023,Caleb Jones,CHI,D,196.0,105.0,81.0,,209.0,122.0,155.0,105.0,114.0,151.0,108.0,90.0,,142.0,Second Pair,73,1402.3,4,6,28,1997-06-06,USA,USA,73,194,2015,4,26,117
2022-2023,Calen Addison,MIN,D,179.0,133.0,57.0,,159.0,95.0,113.0,135.0,40.0,22.0,200.0,227.0,,119.0,Third Pair,62,999.43333333333,3,13,25,2000-04-11,CAN,CAN,71,173,2018,2,22,53
2022-2023,Calle Rosen,STL,D,36.0,181.0,,,167.0,189.0,100.0,5.0,142.0,134.0,145.0,228.0,,124.0,Third Pair,49,764.46666666667,8,4,31,1994-02-02,SWE,SWE,73,188,-,-,-,-
2022-2023,Calvin de Haan,CAR,D,98.0,3.0,,147.0,104.0,8.0,73.0,139.0,74.0,159.0,146.0,40.0,,128.0,Third Pair,53,717.25,2,4,34,1991-05-09,CAN,CAN,73,195,2009,1,12,12
2022-2023,Cam Fowler,ANA,D,152.0,205.0,15.0,92.0,158.0,202.0,127.0,49.0,148.0,40.0,60.0,232.0,,48.0,First Pair,82,1982.2166666667,10,21,33,1991-12-05,CAN,USA,74,215,2010,1,12,12
2022-2023,Cam York,PHI,D,169.0,83.0,55.0,,143.0,105.0,210.0,114.0,128.0,57.0,31.0,203.0,,126.0,Second Pair,54,1060.8666666667,2,10,24,2001-01-05,USA,USA,71,175,2019,1,14,14
2022-2023,Carson Soucy,SEA,D,112.0,26.0,,9.0,177.0,28.0,106.0,63.0,97.0,109.0,219.0,48.0,,134.0,Third Pair,78,1270.7666666667,3,5,30,1994-07-27,CAN,CAN,77,208,2013,5,16,137
2022-2023,Casey Fitzgerald,"BUF, FLA",D,200.0,203.0,,,188.0,180.0,193.0,229.0,30.0,130.0,7.0,37.0,,228.0,Fringe,27,321.73333333333,0,2,28,1997-02-25,USA,USA,71,188,2016,3,25,86
2022-2023,Chad Ruhwedel,PIT,D,119.0,19.0,,118.0,37.0,22.0,145.0,180.0,89.0,216.0,176.0,30.0,,202.0,Third Pair,47,684.71666666667,1,1,35,1990-05-07,USA,USA,71,191,-,-,-,-
2022-2023,Charlie McAvoy,BOS,D,28.0,16.0,32.0,12.0,5.0,17.0,93.0,53.0,43.0,21.0,119.0,123.0,,22.0,First Pair,67,1494.3,7,20,27,1997-12-21,USA,USA,73,209,2016,1,14,14
2022-2023,Chris Tanev,CGY,D,91.0,2.0,,2.0,14.0,2.0,185.0,178.0,158.0,154.0,37.0,207.0,,98.0,Second Pair,65,1307.8166666667,1,5,35,1989-12-20,CAN,CAN,74,193,-,-,-,-
2022-2023,Chris Wideman,MTL,D,167.0,228.0,85.0,,153.0,223.0,157.0,181.0,8.0,65.0,232.0,142.0,,176.0,Third Pair,46,621.55,0,3,35,1990-01-07,USA,USA,70,181,2009,4,9,100
2022-2023,Cody Ceci,EDM,D,138.0,102.0,,74.0,91.0,96.0,169.0,174.0,141.0,174.0,92.0,103.0,,127.0,Second Pair,80,1610.75,1,4,31,1993-12-21,CAN,CAN,74,210,2012,1,15,15
2022-2023,Colin Miller,DAL,D,108.0,46.0,94.0,,147.0,23.0,81.0,86.0,32.0,84.0,78.0,91.0,,131.0,Third Pair,79,1325.0,6,7,32,1992-10-29,CAN,CAN,73,200,2012,5,30,151
2022-2023,Colton Parayko,STL,D,182.0,68.0,,42.0,218.0,128.0,104.0,137.0,221.0,127.0,58.0,157.0,,52.0,First Pair,79,1817.2166666667,4,6,32,1993-05-12,CAN,CAN,78,228,2012,3,25,86
2022-2023,Colton White,ANA,D,232.0,222.0,,,219.0,208.0,220.0,231.0,207.0,177.0,150.0,148.0,,231.0,Third Pair,46,668.38333333333,0,3,28,1997-05-03,CAN,CAN,73,187,2015,4,6,97
2022-2023,Connor Clifton,BOS,D,134.0,27.0,,5.0,133.0,33.0,122.0,133.0,116.0,144.0,89.0,17.0,,144.0,Third Pair,78,1392.75,5,9,30,1995-04-28,USA,USA,71,190,2013,5,12,133
2022-2023,Connor Mackey,"ARI, CGY",D,74.0,234.0,,,116.0,233.0,124.0,29.0,91.0,213.0,222.0,22.0,,186.0,Third Pair,30,421.41666666667,3,1,28,1996-09-12,USA,USA,74,197,-,-,-,-
2022-2023,Connor Murphy,CHI,D,217.0,33.0,,50.0,228.0,124.0,170.0,88.0,229.0,224.0,63.0,50.0,,81.0,Second Pair,80,1551.2,7,3,32,1993-03-26,USA,USA,76,212,2011,1,20,20
2022-2023,Conor Timmins,"ARI, TOR",D,100.0,21.0,,,63.0,3.0,162.0,147.0,82.0,29.0,153.0,164.0,,162.0,Third Pair,27,407.43333333333,2,7,26,1998-09-18,CAN,CAN,74,202,2017,2,1,32
2022-2023,Damon Severson,NJD,D,32.0,172.0,38.0,57.0,3.0,60.0,102.0,58.0,135.0,49.0,163.0,190.0,,89.0,Second Pair,81,1616.35,7,12,30,1994-08-07,CAN,CAN,74,205,2012,2,30,60
2022-2023,Dante Fabbro,NSH,D,118.0,48.0,,39.0,98.0,85.0,111.0,179.0,65.0,113.0,167.0,122.0,,106.0,Third Pair,79,1378.35,2,4,27,1998-06-20,CAN,CAN,72,189,2016,1,17,17
2022-2023,Darnell Nurse,EDM,D,17.0,116.0,47.0,64.0,39.0,116.0,14.0,28.0,123.0,72.0,197.0,74.0,,17.0,First Pair,82,1926.65,12,15,30,1995-02-04,CAN,CAN,76,221,2013,1,7,7
2022-2023,David Savard,MTL,D,211.0,186.0,,82.0,207.0,221.0,215.0,169.0,180.0,183.0,123.0,100.0,,71.0,First Pair,62,1388.0,3,6,34,1990-10-22,CAN,CAN,73,235,2009,4,3,94
2022-2023,Dennis Gilbert,CGY,D,120.0,10.0,,,44.0,36.0,206.0,108.0,9.0,199.0,40.0,9.0,,214.0,Fringe,23,270.0,1,1,28,1996-10-30,USA,USA,74,216,2015,3,30,91
2022-2023,Derek Forbort,BOS,D,180.0,73.0,,10.0,180.0,77.0,219.0,84.0,202.0,184.0,118.0,57.0,,152.0,Third Pair,54,957.53333333333,5,5,33,1992-03-04,USA,USA,76,208,2010,1,15,15
2022-2023,Devon Toews,COL,D,22.0,11.0,49.0,60.0,11.0,7.0,64.0,41.0,24.0,54.0,33.0,197.0,,21.0,First Pair,80,2008.5,7,16,31,1994-02-21,CAN,CAN,73,191,2014,4,18,108
2022-2023,Dmitry Kulikov,"ANA, PIT",D,154.0,152.0,,93.0,173.0,164.0,175.0,129.0,212.0,114.0,147.0,102.0,,141.0,Second Pair,67,1304.7666666667,3,8,34,1990-10-29,RUS,RUS,73,201,2009,1,14,14
2022-2023,Dmitry Orlov,"BOS, WSH",D,52.0,58.0,66.0,158.0,66.0,58.0,76.0,33.0,176.0,51.0,95.0,85.0,,49.0,First Pair,66,1488.0,7,13,33,1991-07-23,RUS,RUS,71,214,2009,2,25,55
2022-2023,Dougie Hamilton,NJD,D,1.0,193.0,10.0,172.0,4.0,101.0,1.0,4.0,49.0,12.0,204.0,160.0,,8.0,Second Pair,82,1785.5,22,27,32,1993-06-17,CAN,CAN,78,230,2011,1,9,9
2022-2023,Drew Doughty,LAK,D,104.0,141.0,8.0,90.0,50.0,15.0,83.0,45.0,86.0,45.0,93.0,143.0,,37.0,First Pair,81,2124.55,9,14,35,1989-12-08,CAN,CAN,73,210,2008,1,2,2
2022-2023,Dylan DeMelo,WPG,D,137.0,64.0,,85.0,82.0,40.0,171.0,154.0,110.0,110.0,143.0,88.0,,135.0,Second Pair,75,1467.0666666667,6,10,32,1993-05-01,CAN,CAN,72,195,2011,6,28,179
2022-2023,Dylan Samberg,WPG,D,160.0,37.0,,107.0,55.0,41.0,199.0,177.0,115.0,225.0,132.0,82.0,,196.0,Third Pair,63,940.33333333333,2,2,26,1999-01-24,USA,USA,76,219,2017,2,12,43
2022-2023,Erik Brannstrom,OTT,D,107.0,84.0,75.0,156.0,79.0,75.0,92.0,210.0,22.0,85.0,127.0,169.0,,132.0,Third Pair,74,1192.4,2,6,25,1999-09-02,SWE,SWE,70,185,2017,1,15,15
2022-2023,Erik Cernak,TBL,D,66.0,167.0,,87.0,48.0,61.0,99.0,185.0,213.0,112.0,66.0,20.0,,165.0,Second Pair,70,1346.8166666667,2,5,28,1997-05-28,SVK,SVK,76,224,2015,2,13,43
2022-2023,Erik Gudbranson,CBJ,D,130.0,177.0,,31.0,122.0,192.0,85.0,172.0,103.0,200.0,170.0,56.0,,116.0,Second Pair,70,1490.9333333333,1,5,33,1992-01-07,CAN,CAN,77,222,2010,1,3,3
2022-2023,Erik Gustafsson,"TOR, WSH",D,56.0,119.0,39.0,,81.0,73.0,56.0,87.0,1.0,25.0,50.0,187.0,,72.0,Second Pair,70,1384.1,7,18,33,1992-03-14,SWE,SWE,72,197,2012,4,2,93
2022-2023,Erik Johnson,COL,D,83.0,80.0,,102.0,129.0,137.0,45.0,136.0,214.0,136.0,154.0,49.0,,103.0,Third Pair,63,1087.0333333333,0,5,37,1988-03-21,USA,USA,76,225,2006,1,1,1
2022-2023,Erik Karlsson,SJS,D,2.0,226.0,13.0,148.0,6.0,201.0,25.0,3.0,20.0,4.0,14.0,230.0,,12.0,First Pair,82,2100.4333333333,25,42,35,1990-05-31,SWE,SWE,72,190,2008,1,15,15
2022-2023,Esa Lindell,DAL,D,129.0,35.0,98.0,24.0,161.0,55.0,108.0,89.0,206.0,120.0,28.0,135.0,,67.0,Second Pair,82,1633.1833333333,8,7,31,1994-05-23,FIN,FIN,75,220,2012,3,13,74
2022-2023,Ethan Bear,VAN,D,77.0,65.0,,137.0,80.0,29.0,78.0,102.0,87.0,116.0,72.0,172.0,,140.0,Second Pair,61,1130.15,3,6,28,1997-06-26,CAN,CAN,71,197,2015,5,3,124
2022-2023,Evan Bouchard,EDM,D,7.0,85.0,63.0,169.0,13.0,57.0,5.0,24.0,48.0,62.0,80.0,146.0,,44.0,Second Pair,82,1518.35,8,11,25,1999-10-20,CAN,CAN,75,194,2018,1,10,10
2022-2023,Filip Hronek,"DET, VAN",D,155.0,191.0,31.0,29.0,205.0,136.0,58.0,66.0,154.0,35.0,26.0,139.0,,50.0,Second Pair,64,1388.7833333333,9,13,27,1997-11-02,CZE,CZE,72,190,2016,2,23,53
2022-2023,Gavin Bayreuther,CBJ,D,150.0,156.0,,,152.0,217.0,105.0,214.0,80.0,108.0,138.0,104.0,,160.0,Third Pair,51,813.3,2,5,31,1994-05-12,USA,USA,73,196,-,-,-,-
2022-2023,Gustav Forsling,FLA,D,4.0,140.0,71.0,46.0,15.0,104.0,23.0,27.0,151.0,47.0,70.0,208.0,,39.0,First Pair,82,1921.7333333333,13,16,29,1996-06-12,SWE,SWE,72,186,2014,5,6,126
