Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2019-2020,Aaron Ekblad,FLA,D,27.0,196.0,25.0,88.0,87.0,128.0,52.0,50.0,174.0,28.0,116.0,184.0,,35.0,First Pair,67,1537.9166666667,5,23,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1,,
2019-2020,Aaron Ness,ARI,D,223.0,164.0,,,96.0,153.0,231.0,229.0,2.0,220.0,1.0,159.0,,,Fringe,24,300.83333333333,0,1,35,1990-05-18,USA,USA,70,184,2008,2,10,40,,
2019-2020,Adam Boqvist,CHI,D,52.0,228.0,74.0,,92.0,233.0,139.0,43.0,75.0,81.0,4.0,170.0,,146.0,Third Pair,41,665.11666666667,4,5,24,2000-08-15,SWE,SWE,72,182,2018,1,8,8,,
2019-2020,Adam Fox,NYR,D,32.0,73.0,72.0,,86.0,115.0,70.0,44.0,193.0,11.0,169.0,216.0,,48.0,Second Pair,70,1323.3,8,20,27,1998-02-17,USA,USA,71,182,2016,3,5,66,,
2019-2020,Adam Larsson,EDM,D,190.0,105.0,,31.0,128.0,133.0,169.0,200.0,216.0,204.0,194.0,24.0,,128.0,Second Pair,49,971.73333333333,1,2,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4,,
2019-2020,Adam Pelech,NYI,D,166.0,53.0,,50.0,174.0,111.0,149.0,171.0,229.0,173.0,172.0,58.0,,92.0,Second Pair,38,803.01666666667,1,2,30,1994-08-16,CAN,CAN,75,210,2012,3,4,65,,
2019-2020,Alec Martinez,"LAK, VGK",D,156.0,66.0,44.0,34.0,64.0,169.0,158.0,117.0,123.0,142.0,58.0,155.0,,61.0,Second Pair,51,1096.9,3,4,37,1987-07-26,USA,USA,73,210,2007,4,4,95,,
2019-2020,Alex Biega,DET,D,126.0,176.0,,141.0,207.0,129.0,41.0,213.0,69.0,110.0,171.0,16.0,,153.0,Third Pair,49,804.63333333333,0,2,37,1988-04-04,CAN,CAN,70,195,2006,5,24,147,,
2019-2020,Alex Goligoski,ARI,D,137.0,142.0,58.0,9.0,73.0,185.0,167.0,134.0,195.0,79.0,83.0,143.0,,54.0,First Pair,70,1613.9833333333,4,7,39,1985-07-30,USA,USA,71,173,2004,2,31,61,,
2019-2020,Alex Pietrangelo,STL,D,21.0,39.0,16.0,27.0,69.0,64.0,7.0,7.0,91.0,33.0,13.0,206.0,,8.0,First Pair,70,1691.4833333333,16,18,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4,,
